CAIC_Weather_Date,BC Zone,Station,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider
2018-01-24,Steamboat,Range South,<TL,1928,-4,4,-14,?,?,?,?,?,?,?,?,?,?,?,?,MesoWest
2018-01-24,Steamboat,Steamboat Springs 1,<TL,2042,-8,4,-21,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Steamboat,U40-Steamboat (040W,<TL,2066,-12,-1,-24,-13,91,3,205,3,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Steamboat,Steamboat Sprngs,<TL,2096,-11,-2,-18,-13,87,9,110,?,?,?,?,?,?,?,?,METAR
2018-01-24,Steamboat,Steamboat Springs 0,<TL,2150,?,?,?,?,?,?,?,?,?,0.00,?,0.5,0.00,40.6,?,CoCoRaHS
2018-01-24,Steamboat,Steamboat Springs 1,<TL,2163,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Steamboat,Wolcott 2.3 N CO,<TL,2181,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,5.1,?,CoCoRaHS
2018-01-24,Steamboat,Steamboat Springs 1,<TL,2195,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,63.5,?,CoCoRaHS
2018-01-24,Steamboat,Gypsum,<TL,2237,-2,2,-14,-12,46,6,175,13,?,0.00,0.00,?,?,?,?,RAWS
2018-01-24,Steamboat,Clark 0.7 NW CO,<TL,2239,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Steamboat,Hangman,<TL,2388,-2,1,-15,-12,49,3,72,8,?,0.00,?,?,?,?,?,RAWS
2018-01-24,Steamboat,Yampa Ranger Statio,<TL,2402,-3,-2,-12,?,?,?,?,?,?,?,?,?,?,?,?,HADS
2018-01-24,Steamboat,Trapper North,<TL,2426,-3,0,-14,?,?,?,?,?,?,?,?,?,?,?,?,UPR
2018-01-24,Steamboat,Dry Lake,<TL,2560,1,1,-12,-5,63,2,56,5,?,?,0.00,?,?,?,21.08,SNOTEL
2018-01-24,Steamboat,Dry Lake,<TL,2565,1,1,-12,-13,35,6,309,11,?,0.08,0.08,?,?,?,?,RAWS
2018-01-24,Steamboat,Elk River,<TL,2652,-2,-2,-11,?,?,?,?,?,?,?,0.00,?,?,86.4,20.83,SNOTEL
2018-01-24,Steamboat,Elkhead Divide,<TL,2676,-2,-2,-9,?,?,?,?,?,?,?,0.00,?,?,?,19.56,SNOTEL
2018-01-24,Steamboat,Lynx Pass,<TL,2707,-3,-3,-18,?,?,?,?,?,?,?,0.25,?,?,53.3,13.72,SNOTEL
2018-01-24,Steamboat,Walden 16.3 WSW CO,<TL,2717,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Steamboat,Porcupine Cr,<TL,2725,0,0,-21,-9,50,2,70,8,?,0.13,0.13,?,?,?,?,RAWS
2018-01-24,Steamboat,Bear River,<TL,2768,-5,-5,-15,?,?,?,?,?,?,?,0.00,?,?,61.0,14.73,SNOTEL
2018-01-24,Steamboat,Crosho,<TL,2774,0,0,-13,?,?,?,?,?,?,?,0.00,?,?,40.6,10.67,SNOTEL
2018-01-24,Steamboat,Columbine,<TL,2792,-3,-3,-15,?,?,?,?,?,?,?,6.10,?,?,101.6,13.46,SNOTEL
2018-01-24,Steamboat,Buffalo Park,<TL,2817,-6,-5,-22,?,?,?,?,?,?,?,?,?,?,96.5,22.35,SNOTEL
2018-01-24,Steamboat,Lost Dog,<TL,2841,-2,-2,-8,?,?,?,?,?,?,?,0.51,?,?,99.1,24.64,SNOTEL
2018-01-24,Steamboat,Zirkel,<TL,2847,-2,-2,-8,?,?,?,?,?,?,?,0.25,?,?,104.1,29.46,SNOTEL
2018-01-24,Steamboat,Rabbit Ears,<TL,2865,-4,-3,-12,?,?,?,?,?,?,?,0.00,?,?,96.5,22.61,SNOTEL
2018-01-24,Steamboat,Burro Mountain,<TL,2865,1,1,-11,?,?,?,?,?,?,?,0.25,?,?,50.8,12.19,SNOTEL
2018-01-24,Steamboat,Steamboat Lake Stat,<TL,2871,-15,-3,-20,-16,90,1,241,6,?,?,?,?,?,53.3,?,CAIC
2018-01-24,Steamboat,Willow Creek Pass,<TL,2908,-3,-3,-18,?,?,?,?,?,?,?,0.00,?,?,94.0,20.32,SNOTEL
2018-01-24,Steamboat,Trapper Lake,<TL,2957,0,0,-13,?,?,?,?,?,?,?,0.00,?,?,20.3,7.37,SNOTEL
2018-01-24,Steamboat,Ripple Creek,TL,3152,-5,-5,-13,?,?,?,?,?,?,?,0.00,?,?,124.5,30.73,SNOTEL
2018-01-24,Steamboat,Tower,TL,3201,-7,-7,-13,?,?,?,?,?,?,?,0.00,?,?,152.4,43.94,SNOTEL
2018-01-24,Steamboat,Storm Peak Observat,TL,3210,-9,-8,-14,-15,63,22,222,27,?,?,?,?,?,?,?,DRI
2018-01-24,Steamboat,Bison Lake,TL,3316,-5,-5,-13,?,?,?,?,?,?,?,0.51,?,?,73.7,22.35,SNOTEL
2018-01-24,Gunnison,Paonia Reservoir nr,<TL,1975,-4,4,-15,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Blue Mesa Dam nr Gu,<TL,2240,-8,1,-15,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Gunnison Arpt,<TL,2339,-11,-10,-22,-16,64,0,0,?,?,?,?,?,?,?,?,METAR
2018-01-24,Gunnison,Gunnison 0.8 NNW CO,<TL,2349,?,?,?,?,?,?,?,?,?,?,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Gunnison,CW1428 Gunnison,<TL,2352,-11,-2,-20,-19,54,0,0,?,?,?,?,?,?,?,?,APRSWXNET
2018-01-24,Gunnison,Gunnison 6.6 N CO,<TL,2422,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Gunnison,Almont,<TL,2440,-8,0,-22,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Parlin 2.7 ESE CO,<TL,2562,?,?,?,?,?,?,?,?,?,0.00,?,0.0,?,?,?,CoCoRaHS
2018-01-24,Gunnison,Crested Butte,<TL,2701,-6,-5,-25,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Crested Butte (RWIS,<TL,2721,-9,-7,-20,-16,58,2,75,2,0.00,0.00,?,?,?,?,?,CODOT
2018-01-24,Gunnison,Silver Jack Reservo,<TL,2721,?,?,?,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Taylor Park,<TL,2795,-19,-14,-28,?,?,?,?,?,?,?,0.00,?,?,?,?,HADS
2018-01-24,Gunnison,Kettle Ponds,<TL,2841,-11,?,?,-17,60,3,96,?,?,?,?,?,?,?,?,RMBL
2018-01-24,Gunnison,Billy Barr House,<TL,2905,-8,?,?,-16,51,3,132,?,?,?,?,?,?,?,?,RMBL
2018-01-24,Gunnison,Park Cone,<TL,2926,-13,-2,-25,?,?,?,?,?,?,?,0.25,?,?,48.3,11.18,SNOTEL
2018-01-24,Gunnison,Judd Falls,<TL,2974,-7,?,?,-17,43,3,177,?,?,?,?,?,?,?,?,RMBL
2018-01-24,Gunnison,Crested Butte 6.2 N,<TL,2991,?,?,?,?,?,?,?,?,?,0.00,?,0.0,0.00,63.5,?,CoCoRaHS
2018-01-24,Gunnison,Mexican Cut,TL,3094,-5,?,?,-21,27,5,313,?,?,?,?,?,?,?,?,RMBL
2018-01-24,Gunnison,Butte,TL,3097,?,?,?,?,?,?,?,?,?,?,?,?,?,50.8,11.68,SNOTEL
2018-01-24,Gunnison,Irwin Guides StudyP,TL,3170,-4,-4,-19,-16,38,6,123,12,0.00,?,0.00,?,?,76.7,?,IrwinGuide
