,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
4,4,2018-01-01,Front Range,>TL,3682.0,-7.333333333333332,-7.333333333333332,-13.0,-23.33333333333333,31.66666666666667,39.0,295.6666666666667,64.33333333333333,,,,,,,
30,4,2018-01-02,Front Range,>TL,3682.0,-15.666666666666664,-6.666666666666668,-18.0,-24.0,55.33333333333334,27.33333333333333,213.3333333333333,45.0,,,,,,,
56,4,2018-01-03,Front Range,>TL,3682.0,-6.666666666666668,-6.666666666666668,-15.666666666666664,-19.0,39.333333333333336,31.66666666666667,306.3333333333333,48.0,,,,,,,
82,4,2018-01-04,Front Range,>TL,3682.0,-5.666666666666668,-3.6666666666666665,-8.333333333333334,-24.0,29.0,20.0,194.3333333333333,33.666666666666664,,,,,,,
108,4,2018-01-05,Front Range,>TL,3682.0,-4.666666666666667,-4.333333333333333,-7.666666666666668,-11.0,61.0,31.0,310.3333333333333,52.0,,,,,,,
134,4,2018-01-06,Front Range,>TL,3682.0,-4.333333333333333,-3.6666666666666665,-7.333333333333332,-10.0,66.66666666666667,33.333333333333336,288.0,55.0,,,,,,,
160,4,2018-01-07,Front Range,>TL,3682.0,-10.666666666666666,-4.0,-11.333333333333336,-13.666666666666664,79.33333333333333,36.333333333333336,317.3333333333333,56.0,,,,,,,
186,4,2018-01-08,Front Range,>TL,3682.0,-0.3333333333333333,-0.3333333333333333,-11.333333333333336,-15.0,37.66666666666666,36.66666666666666,271.0,52.33333333333334,,,,,,,
212,4,2018-01-09,Front Range,>TL,3682.0,-3.0,1.6666666666666667,-6.0,-6.666666666666668,75.66666666666667,26.66666666666667,193.66666666666663,54.0,,,,,,,
238,4,2018-01-10,Front Range,>TL,3682.0,-5.0,-0.6666666666666666,-6.0,-9.0,74.66666666666667,21.33333333333333,269.0,39.0,,,,,,,
264,4,2018-01-11,Front Range,>TL,3682.0,-16.666666666666668,-5.0,-17.333333333333332,-20.0,76.66666666666667,44.33333333333334,298.6666666666667,67.33333333333333,,,,,,,
290,4,2018-01-12,Front Range,>TL,3682.0,-11.0,-10.666666666666666,-16.666666666666668,-14.0,79.0,39.0,307.6666666666667,76.0,,,,,,,
316,4,2018-01-13,Front Range,>TL,3682.0,-11.333333333333336,-10.333333333333334,-13.0,-14.666666666666664,77.66666666666667,39.0,293.6666666666667,58.33333333333334,,,,,,,
342,4,2018-01-14,Front Range,>TL,3682.0,-7.666666666666668,-7.666666666666668,-11.666666666666664,-16.666666666666668,50.33333333333334,39.0,323.0,59.66666666666666,,,,,,,
368,4,2018-01-15,Front Range,>TL,3682.0,-11.0,-6.333333333333332,-11.0,-13.666666666666664,82.0,28.66666666666667,209.3333333333333,53.33333333333334,,,,,,,
394,4,2018-01-16,Front Range,>TL,3682.0,-10.0,-10.0,-18.33333333333333,-29.66666666666667,27.33333333333333,16.666666666666668,183.0,24.66666666666667,,,,,,,
420,4,2018-01-17,Front Range,>TL,3682.0,-9.0,-8.0,-11.0,-14.666666666666664,63.0,15.666666666666664,234.0,31.33333333333333,,,,,,,
446,4,2018-01-18,Front Range,>TL,3682.0,-4.666666666666667,-4.666666666666667,-10.0,-18.0,38.66666666666666,24.0,210.3333333333333,44.33333333333334,,,,,,,
472,4,2018-01-19,Front Range,>TL,3682.0,0.0,0.0,-4.666666666666667,-9.666666666666666,49.66666666666666,56.33333333333334,268.3333333333333,100.0,,,,,,,
