,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
3,3,2018-01-01,Front Range,<TL,2602.25,1.0909090909090908,2.386363636363636,-11.272727272727273,-19.954545454545453,20.75,7.909090909090909,225.38636363636363,18.272727272727273,0.2454545454545455,0.05227272727272728,0.03977272727272727,0.0,0.0,19.347727272727273,6.517272727272728
29,3,2018-01-02,Front Range,<TL,2609.0,-0.3111111111111111,3.311111111111111,-11.644444444444444,-25.2,17.355555555555554,10.311111111111114,235.0444444444444,22.644444444444453,0.0,0.19755555555555554,0.0,0.022222222222222227,0.01909090909090909,20.20888888888889,6.707111111111113
55,3,2018-01-03,Front Range,<TL,2612.913043478261,2.9565217391304346,4.391304347826087,-8.5,-18.543478260869566,20.13043478260869,6.369565217391305,168.32608695652175,13.565217391304348,0.313913043478261,0.25826086956521743,0.07065217391304347,0.0,0.0,20.54565217391304,6.913260869565217
81,3,2018-01-04,Front Range,<TL,2609.6222222222227,3.2444444444444445,6.5777777777777775,-7.511111111111113,-18.044444444444444,22.04444444444445,5.333333333333333,188.3555555555556,12.355555555555556,0.3371111111111111,0.5048888888888888,0.016666666666666666,0.0,0.0,13.435555555555556,5.448444444444443
107,3,2018-01-05,Front Range,<TL,2609.276595744681,3.595744680851064,6.659574468085108,-5.2340425531914905,-11.744680851063832,31.78723404255319,6.893617021276596,189.4893617021277,13.957446808510639,0.3402127659574468,0.5257446808510639,0.026595744680851064,0.0,0.0,19.625531914893614,6.740851063829787
133,3,2018-01-06,Front Range,<TL,2609.276595744681,4.680851063829787,6.702127659574468,-2.851063829787234,-7.468085106382978,41.4468085106383,6.127659574468084,127.06382978723404,14.106382978723405,0.3568085106382979,0.7863829787234042,0.026595744680851064,0.0,0.0,19.57021276595745,6.827234042553191
159,3,2018-01-07,Front Range,<TL,2609.276595744681,0.7446808510638298,6.808510638297872,-3.127659574468085,-10.148936170212766,46.53191489361702,13.042553191489361,206.53191489361703,25.29787234042553,0.0,0.11340425531914895,0.09170212765957447,0.0,0.0,28.110638297872338,5.583617021276593
185,3,2018-01-08,Front Range,<TL,2609.8695652173915,4.978260869565218,6.565217391304348,-3.804347826086957,-16.565217391304348,23.65217391304348,3.652173913043478,148.08695652173913,11.173913043478262,0.24782608695652186,0.13369565217391305,0.08130434782608696,0.0,0.0,16.28695652173913,4.737826086956521
211,3,2018-01-09,Front Range,<TL,2609.276595744681,7.5106382978723385,10.851063829787234,-0.3191489361702128,-3.6595744680851054,46.70212765957447,9.659574468085106,179.3404255319149,23.78723404255319,0.3402127659574468,0.9297872340425531,0.10191489361702127,0.0,0.0,15.77659574468085,5.783404255319147
237,3,2018-01-10,Front Range,<TL,2616.3541666666665,3.125,9.458333333333334,0.8333333333333334,-2.6875,67.5625,6.583333333333332,188.5208333333333,13.625,0.6583333333333333,1.1777083333333334,0.004166666666666668,0.0,0.0,15.766666666666666,5.864166666666668
