,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
6,6,2018-01-01,Grand Mesa,<TL,2284.0,2.6666666666666665,5.333333333333333,-5.0,-10.666666666666666,36.66666666666666,5.333333333333333,109.0,18.0,0.0,0.0,0.0,0.0,0.0,5.1,1.27
32,6,2018-01-02,Grand Mesa,<TL,2284.0,-0.6666666666666666,5.0,-8.333333333333334,-14.0,37.66666666666666,9.0,201.3333333333333,20.33333333333333,0.0,0.0,0.0,0.0,0.0,2.5,1.02
58,6,2018-01-03,Grand Mesa,<TL,2284.0,2.333333333333333,4.0,-8.0,-16.666666666666668,23.0,10.666666666666666,150.0,24.0,0.0,0.0,0.34,0.0,0.0,5.1,1.27
84,6,2018-01-04,Grand Mesa,<TL,2284.0,-1.3333333333333333,5.333333333333333,-7.0,-17.666666666666668,29.0,6.0,229.66666666666663,18.666666666666668,0.0,0.0,0.0,0.0,0.0,2.5,1.27
110,6,2018-01-05,Grand Mesa,<TL,2284.0,4.0,6.0,-5.333333333333333,-13.666666666666664,26.0,7.666666666666668,270.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,7.599999999999999,1.27
136,6,2018-01-06,Grand Mesa,<TL,2284.0,3.0,8.666666666666666,-4.0,-10.333333333333334,38.0,9.666666666666666,99.66666666666669,22.33333333333333,0.0,0.0,0.0,0.0,0.0,7.599999999999999,1.02
162,6,2018-01-07,Grand Mesa,<TL,2206.5,0.0,4.75,-6.0,-3.0,81.75,4.0,280.25,12.25,0.0,1.1774999999999998,0.8925,5.7,0.56,12.7,1.78
188,6,2018-01-08,Grand Mesa,<TL,2284.0,0.0,3.0,-6.333333333333332,-6.0,64.0,13.0,235.66666666666663,32.0,0.0,0.043333333333333335,0.03333333333333333,0.0,0.0,12.699999999999998,1.78
214,6,2018-01-09,Grand Mesa,<TL,2206.5,4.5,6.0,-6.25,0.5,78.0,19.5,279.0,42.5,0.0,0.8975,0.5549999999999999,10.2,0.13,33.0,2.54
240,6,2018-01-10,Grand Mesa,<TL,2206.5,1.5,7.25,1.0,0.25,92.25,8.0,114.0,29.25,0.0,0.6325000000000001,0.645,8.9,0.0,22.9,2.79
266,6,2018-01-11,Grand Mesa,<TL,2206.5,-2.0,4.0,-8.75,-7.5,66.75,6.0,292.5,20.0,0.0,1.6825,0.7349999999999999,23.4,0.38,25.4,3.56
292,6,2018-01-12,Grand Mesa,<TL,2284.0,1.3333333333333333,1.6666666666666667,-5.0,-5.666666666666668,60.33333333333334,9.333333333333334,213.3333333333333,26.66666666666667,0.0,0.0,0.0,0.0,0.15,55.9,3.81
318,6,2018-01-13,Grand Mesa,<TL,2284.0,1.0,4.0,-6.333333333333332,-4.666666666666667,65.0,6.0,256.0,17.333333333333332,0.0,0.0,0.0,0.0,0.64,12.699999999999998,3.56
344,6,2018-01-14,Grand Mesa,<TL,2284.0,3.0,4.0,-5.0,-5.0,56.33333333333334,6.333333333333332,217.3333333333333,18.666666666666668,0.0,0.0,0.0,0.0,0.0,17.8,3.56
370,6,2018-01-15,Grand Mesa,<TL,2284.0,1.0,6.666666666666668,-5.0,-7.0,55.66666666666666,10.333333333333334,199.0,28.66666666666667,0.0,0.0,0.0,0.0,0.0,20.3,3.56
396,6,2018-01-16,Grand Mesa,<TL,2284.0,-2.6666666666666665,3.0,-11.0,-14.0,41.0,8.0,193.0,20.0,0.0,0.0,1.5266666666666666,0.0,0.0,15.199999999999998,3.56
422,6,2018-01-17,Grand Mesa,<TL,2284.0,2.0,4.0,-8.333333333333334,-13.0,32.666666666666664,5.0,99.0,14.0,0.0,0.0,0.0,0.0,0.0,20.3,3.56
448,6,2018-01-18,Grand Mesa,<TL,2284.0,4.0,6.0,-5.0,-8.666666666666666,38.66666666666666,10.333333333333334,216.3333333333333,24.33333333333333,0.0,0.0,0.0,0.0,0.0,17.8,3.56
474,6,2018-01-19,Grand Mesa,<TL,2284.0,6.0,7.666666666666668,-2.0,-7.0,38.333333333333336,15.333333333333336,250.66666666666663,39.333333333333336,0.0,0.0,0.25,0.0,0.0,20.3,4.06
500,6,2018-01-20,Grand Mesa,<TL,2284.0,3.333333333333333,9.333333333333334,2.333333333333333,-3.333333333333333,65.66666666666667,28.66666666666667,282.6666666666667,53.66666666666666,0.0,0.0,0.0,0.0,0.0,17.8,3.81
526,6,2018-01-21,Grand Mesa,<TL,2206.5,-7.25,3.75,-8.5,-9.25,87.5,13.5,220.75,50.5,0.0,0.8574999999999999,1.21,6.35,0.08,66.0,5.33
552,6,2018-01-22,Grand Mesa,<TL,2284.0,-6.0,-5.333333333333333,-13.666666666666664,-10.0,74.66666666666667,11.666666666666664,217.3333333333333,27.0,0.0,0.03333333333333333,3.42,19.1,0.56,27.899999999999995,5.08
578,6,2018-01-23,Grand Mesa,<TL,2284.0,-3.6666666666666665,-2.6666666666666665,-10.666666666666666,-8.333333333333334,72.0,2.6666666666666665,132.33333333333334,9.333333333333334,0.0,0.08666666666666667,2.033333333333333,1.5,0.10000000000000002,27.899999999999995,5.33
604,6,2018-01-24,Grand Mesa,<TL,2284.0,0.0,0.0,-10.0,-9.0,52.66666666666666,14.0,219.0,32.666666666666664,0.0,0.0,0.68,0.0,0.0,25.399999999999995,5.33
630,6,2018-01-25,Grand Mesa,<TL,2284.0,3.333333333333333,4.333333333333333,-3.6666666666666665,-13.0,29.66666666666667,25.66666666666667,200.0,37.333333333333336,0.0,0.0,0.16666666666666666,0.0,0.0,30.5,5.59
656,6,2018-01-26,Grand Mesa,<TL,2284.0,-4.333333333333333,5.0,-6.666666666666668,-10.333333333333334,63.33333333333334,6.333333333333332,194.3333333333333,15.333333333333336,0.0,0.7266666666666667,0.0,11.4,0.64,22.899999999999995,4.83
682,6,2018-01-27,Grand Mesa,<TL,2284.0,-1.6666666666666667,0.3333333333333333,-10.666666666666666,-13.666666666666664,39.66666666666666,13.666666666666664,216.66666666666663,32.0,0.0,0.0,2.54,0.0,0.18000000000000002,17.8,4.57
708,6,2018-01-28,Grand Mesa,<TL,2284.0,0.6666666666666666,2.0,-8.0,-12.0,38.333333333333336,8.333333333333334,254.3333333333333,19.33333333333333,0.0,0.0,1.0133333333333334,0.0,0.0,17.8,4.83
734,6,2018-01-29,Grand Mesa,<TL,2284.0,4.0,5.0,-4.0,-7.0,44.33333333333334,8.666666666666666,141.66666666666666,19.0,0.0,0.0,0.16666666666666666,0.0,0.0,20.3,4.83
760,6,2018-01-30,Grand Mesa,<TL,2284.0,4.666666666666667,8.0,-2.333333333333333,-7.0,43.66666666666666,9.666666666666666,169.33333333333334,29.33333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,17.8,5.33
786,6,2018-01-31,Grand Mesa,<TL,2284.0,6.0,9.0,0.0,-7.333333333333332,37.333333333333336,12.0,108.66666666666669,24.66666666666667,0.0,0.0,0.0,0.0,0.0,22.899999999999995,5.33
