,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
14,14,2017-12-01,Sangre,TL,3279.5,1.5,2.0,-1.5,-7.0,31.0,19.0,237.0,32.0,0.0,0.0,0.125,0.0,0.0,3.8,3.175
40,14,2017-12-02,Sangre,TL,3279.5,2.0,4.0,-1.5,-6.0,33.0,23.0,204.0,32.0,0.0,0.0,0.0,0.0,0.0,5.1,3.175
66,14,2017-12-03,Sangre,TL,3279.5,0.0,3.5,-1.0,-8.0,29.0,8.0,179.0,21.0,0.0,0.0,0.125,0.0,0.0,5.05,3.175
92,14,2017-12-04,Sangre,TL,3279.5,-7.0,3.0,-10.5,-19.0,27.0,21.0,208.0,29.0,0.0,0.0,0.0,0.0,0.2,6.35,2.92
118,14,2017-12-05,Sangre,TL,3279.5,-8.5,-4.5,-12.5,-19.0,23.0,3.0,126.0,10.0,0.0,0.0,0.125,0.0,0.0,6.35,2.92
144,14,2017-12-06,Sangre,TL,3279.5,-10.5,-2.5,-12.5,-15.0,36.0,11.0,109.0,19.0,0.0,0.0,0.0,0.0,0.0,6.35,3.05
170,14,2017-12-07,Sangre,TL,3279.5,-13.0,-7.5,-18.5,-20.0,28.0,0.0,63.0,5.0,0.0,0.0,1.905,0.0,0.0,10.15,3.175
196,14,2017-12-08,Sangre,TL,3279.5,-1.5,-1.5,-13.0,-16.0,16.0,10.0,21.0,26.0,0.0,0.0,3.68,0.0,0.05,7.6,3.43
222,14,2017-12-09,Sangre,TL,3279.5,-3.0,0.0,-6.0,-17.0,19.0,6.0,127.0,10.0,0.0,0.0,0.0,0.0,0.0,7.6,3.43
248,14,2017-12-10,Sangre,TL,3279.5,-4.0,1.5,-7.0,-20.0,12.0,0.0,123.0,3.0,0.0,0.0,0.0,0.0,0.0,6.35,3.3
274,14,2017-12-11,Sangre,TL,3279.5,-1.0,0.0,-5.5,-20.0,11.0,0.0,88.0,5.0,0.0,0.0,0.125,0.0,0.0,7.6,3.43
300,14,2017-12-12,Sangre,TL,3279.5,-0.5,4.5,-4.0,-15.0,16.0,3.0,128.0,5.0,0.0,0.0,0.0,0.0,0.0,7.6,3.43
326,14,2017-12-13,Sangre,TL,3279.5,-3.0,3.0,-5.0,-15.0,19.0,5.0,99.0,10.0,0.0,0.0,0.0,0.0,0.0,6.35,3.43
352,14,2017-12-14,Sangre,TL,3279.5,-7.0,3.5,-9.5,-8.0,62.0,10.0,92.0,11.0,0.0,0.05,0.765,4.8,0.2,15.25,4.065
378,14,2017-12-15,Sangre,TL,3279.5,-4.0,-2.5,-12.0,-15.0,24.0,3.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,4.065
404,14,2017-12-16,Sangre,TL,3279.5,2.0,4.0,-5.5,-16.0,20.0,0.0,240.0,0.0,0.0,0.03,0.125,0.0,0.13,11.4,4.065
430,14,2017-12-17,Sangre,TL,3279.5,-2.5,3.0,-8.0,-17.0,23.0,11.0,218.0,42.0,0.0,0.0,0.0,0.0,0.0,11.4,3.94
456,14,2017-12-18,Sangre,TL,3279.5,-3.5,-1.0,-5.0,-15.0,22.0,14.0,111.0,19.0,0.0,0.0,0.0,0.0,0.0,11.4,3.94
482,14,2017-12-19,Sangre,TL,3279.5,-5.0,-0.5,-7.5,-12.0,28.0,8.0,113.0,11.0,0.0,0.0,0.125,0.0,0.0,12.7,4.065
508,14,2017-12-20,Sangre,TL,3279.5,-2.0,3.0,-8.0,-16.0,16.0,26.0,222.0,50.0,0.0,0.0,0.125,0.0,0.0,11.4,3.81
534,14,2017-12-21,Sangre,TL,3279.5,-7.5,1.0,-7.5,-6.0,74.0,2.0,42.0,5.0,0.0,0.0,0.255,0.0,0.28,12.7,4.065
560,14,2017-12-22,Sangre,TL,3279.5,-9.5,-6.0,-15.0,-13.0,50.0,8.0,110.0,13.0,0.0,0.0,0.125,0.0,0.38,15.25,4.195
586,14,2017-12-23,Sangre,TL,3279.5,-5.0,-3.5,-10.0,-10.0,43.0,23.0,229.0,45.0,0.0,0.0,0.0,0.0,0.05,11.4,4.19
612,14,2017-12-24,Sangre,TL,3279.5,-5.5,-3.0,-10.0,-20.0,23.0,23.0,212.0,45.0,0.0,0.0,0.125,0.0,0.0,15.25,4.575
638,14,2017-12-25,Sangre,TL,3279.5,-3.5,-2.5,-6.0,-6.0,58.0,27.0,322.0,48.0,0.0,0.1,1.015,3.8,0.13,16.5,4.825
664,14,2017-12-26,Sangre,TL,3279.5,-2.5,-2.0,-6.0,-10.0,35.0,32.0,207.0,42.0,0.0,0.1,0.0,0.0,0.43,16.5,4.7
690,14,2017-12-27,Sangre,TL,3279.5,-3.0,0.0,-4.5,-15.0,22.0,32.0,227.0,56.0,0.0,0.03,0.0,0.0,0.0,16.5,4.7
716,14,2017-12-28,Sangre,TL,3279.5,-0.5,1.0,-3.0,-16.0,17.0,5.0,220.0,19.0,0.0,0.0,0.0,0.0,0.0,15.25,4.575
742,14,2017-12-29,Sangre,TL,3279.5,1.5,3.0,-1.5,-14.0,16.0,16.0,229.0,29.0,0.0,0.0,0.38,0.0,0.0,15.25,4.575
768,14,2017-12-30,Sangre,TL,3279.5,4.0,4.0,2.0,-21.0,9.0,27.0,237.0,45.0,0.0,0.0,0.0,0.0,0.0,14.0,4.445
794,14,2017-12-31,Sangre,TL,3279.5,0.5,6.0,-1.5,-11.0,50.0,14.0,106.0,19.0,0.0,0.0,0.25,0.0,0.0,14.0,4.445
820,14,2018-01-01,Sangre,TL,3279.5,-2.0,2.5,-4.0,-15.0,25.0,6.0,170.0,11.0,0.0,0.0,0.125,0.0,0.0,14.0,4.19
846,14,2018-01-02,Sangre,TL,3279.5,-3.0,0.5,-10.5,-23.0,12.0,8.0,165.0,23.0,0.0,0.0,0.125,0.0,0.0,14.0,4.32
872,14,2018-01-03,Sangre,TL,3279.5,0.5,2.0,-8.5,-21.0,13.0,2.0,112.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,4.19
898,14,2018-01-04,Sangre,TL,3279.5,-2.0,2.0,-6.5,-23.0,11.0,2.0,109.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,4.19
924,14,2018-01-05,Sangre,TL,3279.5,1.5,3.5,-5.5,-15.0,19.0,5.0,99.0,10.0,0.0,0.0,0.125,0.0,0.0,12.7,4.19
950,14,2018-01-06,Sangre,TL,3279.5,0.0,4.0,-3.0,-8.0,34.0,21.0,194.0,34.0,0.0,0.0,0.0,0.0,0.0,11.4,4.19
