,Unnamed: 0,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE
18,18,2018-01-01,South San Juan,<TL,2318.68,4.28,8.96,-8.52,-13.48,26.72,5.84,164.8,11.56,0.0,0.0,0.5072,0.0,0.0,0.3,1.9592
44,18,2018-01-02,South San Juan,<TL,2306.3076923076924,3.3846153846153846,7.8076923076923075,-9.423076923076923,-12.807692307692307,30.84615384615385,7.3076923076923075,137.26923076923077,11.730769230769232,0.0,0.0,0.1757692307692308,0.0,0.0,0.28846153846153844,1.9715384615384617
70,18,2018-01-03,South San Juan,<TL,2304.68,3.48,7.96,-10.16,-17.12,21.72,4.84,149.16,10.84,0.0,0.0,0.02,0.0,0.0,0.2,1.7292
96,18,2018-01-04,South San Juan,<TL,2304.68,2.76,8.08,-8.2,-16.16,23.88,3.12,136.44,5.76,0.0,0.0,0.0,0.0,0.0,0.2,0.3828
122,18,2018-01-05,South San Juan,<TL,2306.3076923076924,3.2307692307692317,8.0,-7.769230769230767,-12.653846153846152,30.26923076923077,5.269230769230768,131.53846153846158,9.076923076923077,0.0,0.0,0.009615384615384616,0.0,0.0,0.19230769230769232,0.16615384615384615
148,18,2018-01-06,South San Juan,<TL,2306.3076923076924,2.5384615384615383,5.730769230769233,-6.1538461538461515,-10.307692307692307,41.384615384615394,4.0,106.3846153846154,8.884615384615385,0.0,0.0,0.0,0.0,0.0,2.4038461538461537,0.6173076923076923
174,18,2018-01-07,South San Juan,<TL,2312.6666666666665,2.083333333333333,6.333333333333332,-2.333333333333333,-2.333333333333333,73.45833333333333,4.416666666666667,145.29166666666666,9.458333333333334,0.0,0.1729166666666667,0.3320833333333333,3.733333333333333,0.56,4.191666666666666,2.529166666666667
200,18,2018-01-08,South San Juan,<TL,2314.04,4.04,5.92,-6.64,-4.28,55.4,5.2,226.16,11.6,0.0,0.05080000000000001,0.0684,0.0,0.0,1.22,2.32
226,18,2018-01-09,South San Juan,<TL,2321.708333333333,8.458333333333334,9.833333333333334,-1.7083333333333333,-2.208333333333333,47.66666666666666,7.791666666666668,137.58333333333334,15.208333333333336,0.0,0.01125,0.044583333333333336,0.14583333333333334,0.13,7.729166666666665,2.3633333333333333
252,18,2018-01-10,South San Juan,<TL,2321.708333333333,1.7916666666666667,10.25,0.375,-0.16666666666666666,90.83333333333331,8.375,196.75,13.75,0.0,0.4429166666666667,0.5579166666666667,4.070833333333334,0.0,6.45,3.384583333333333
278,18,2018-01-11,South San Juan,<TL,2320.608695652174,1.0434782608695652,2.869565217391304,-6.304347826086956,-8.91304347826087,46.8695652173913,6.217391304347826,151.69565217391303,11.869565217391305,0.0,0.17695652173913046,0.21478260869565216,0.3608695652173913,0.38,5.77391304347826,3.680869565217392
304,18,2018-01-12,South San Juan,<TL,2314.04,1.0,3.48,-9.48,-7.52,57.0,5.68,164.2,11.32,0.0,0.0232,0.034,0.0,0.15,5.1560000000000015,3.4628
330,18,2018-01-13,South San Juan,<TL,2299.8695652173915,2.0434782608695654,5.608695652173912,-9.608695652173912,-9.08695652173913,44.56521739130435,6.304347826086956,145.52173913043478,12.26086956521739,0.0,0.0013043478260869564,0.010869565217391304,0.20869565217391306,0.6400000000000002,4.273913043478261,3.5708695652173916
356,18,2018-01-14,South San Juan,<TL,2321.6666666666665,4.083333333333333,6.166666666666668,-8.833333333333334,-9.041666666666666,37.958333333333336,4.625,201.41666666666663,8.333333333333334,0.0,0.0,0.010416666666666666,0.0,0.0,1.9833333333333327,4.1345833333333335
382,18,2018-01-15,South San Juan,<TL,2299.8695652173915,2.9130434782608696,9.08695652173913,-7.913043478260869,-8.826086956521738,42.130434782608695,4.869565217391305,139.6086956521739,11.391304347826088,0.0,0.0,0.21,0.0,0.0,3.3130434782608686,3.799130434782609
408,18,2018-01-16,South San Juan,<TL,2321.6666666666665,-0.4166666666666667,6.875,-10.416666666666666,-8.541666666666666,52.125,6.416666666666668,146.04166666666666,12.75,0.0,0.0,0.020833333333333332,0.0,0.0,12.858333333333333,5.1225
434,18,2018-01-17,South San Juan,<TL,2314.04,0.72,3.56,-11.2,-9.56,46.24,5.12,108.64,11.2,0.0,0.0,0.0036,0.0,0.0,9.94,3.8812
460,18,2018-01-18,South San Juan,<TL,2314.04,3.12,6.32,-9.56,-8.52,44.56,3.32,119.68,8.88,0.0,0.0,0.0,0.0,0.0,9.892,4.111599999999998
486,18,2018-01-19,South San Juan,<TL,2292.833333333333,6.541666666666668,8.75,-5.916666666666668,-7.875,36.375,6.0,145.25,13.375,0.0,0.0,0.0,0.0,0.0,10.833333333333336,3.8204166666666666
512,18,2018-01-20,South San Juan,<TL,2290.478260869565,2.9565217391304346,10.26086956521739,-4.521739130434782,-7.869565217391305,47.73913043478261,5.3478260869565215,150.7826086956522,7.521739130434782,0.0,0.0,0.010869565217391304,0.0,0.0,12.3695652173913,4.049130434782609
538,18,2018-01-21,South San Juan,<TL,2304.68,-3.2,4.52,-7.04,-7.32,73.68,8.8,236.72,15.2,0.0,0.366,0.3684,9.663999999999998,1.032,13.823999999999998,5.472799999999999
564,18,2018-01-22,South San Juan,<TL,2313.32,-4.48,-2.4,-17.36,-13.48,52.2,6.12,123.88,10.08,0.0,0.08800000000000001,0.1112,0.852,0.56,10.88,5.880799999999999
590,18,2018-01-23,South San Juan,<TL,2312.6666666666665,-3.458333333333333,-0.9166666666666666,-16.583333333333332,-11.5,54.58333333333334,3.7916666666666665,117.33333333333331,9.375,0.0,0.08125,0.3004166666666667,0.0,0.10000000000000002,9.7,6.120833333333333
616,18,2018-01-24,South San Juan,<TL,2312.6666666666665,-0.041666666666666664,2.125,-13.583333333333336,-10.208333333333334,44.25,2.583333333333333,118.5,8.208333333333334,0.0,0.04,0.06291666666666666,0.0,0.0,9.3,6.1525
642,18,2018-01-25,South San Juan,<TL,2308.708333333333,3.375,6.291666666666668,-9.208333333333334,-9.291666666666666,38.25,5.875,167.91666666666666,14.958333333333336,0.0,0.01375,0.010416666666666666,0.0,0.0,7.587499999999999,6.0145833333333325
