,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,2,2,2017-12-01,Aspen,TL,3231.714285714286,2.4285714285714284,4.714285714285714,-4.285714285714286,-6.571428571428571,61.14285714285714,21.714285714285715,240.85714285714286,44.0,0.0,0.0,0.29000000000000004,0.0,,34.42857142857143,8.492857142857142,no,11
1,28,2,2017-12-02,Aspen,TL,3231.714285714286,0.8571428571428571,3.0,-3.0,-5.857142857142858,59.42857142857143,14.714285714285715,216.57142857142856,29.714285714285715,0.0,0.0,0.07142857142857142,0.0,,33.92857142857143,8.708571428571428,no,12
2,54,2,2017-12-03,Aspen,TL,3231.714285714286,3.7142857142857135,4.857142857142857,-3.2857142857142856,-6.7142857142857135,54.0,25.285714285714285,206.0,51.714285714285715,0.0,0.0,0.14285714285714285,0.0,0.0,33.81428571428572,8.601428571428572,no,13
3,80,2,2017-12-04,Aspen,TL,3231.714285714286,-11.0,4.285714285714286,-14.142857142857142,-15.571428571428573,80.28571428571429,8.428571428571429,270.2857142857143,17.0,0.0,0.03,0.18142857142857144,0.12857142857142856,0.0,41.57142857142857,9.25,no,14
4,106,2,2017-12-05,Aspen,TL,3231.714285714286,-8.714285714285714,-8.142857142857142,-17.857142857142858,-14.857142857142858,69.14285714285714,2.8571428571428568,90.57142857142857,21.0,0.0,0.0,0.0,0.6428571428571429,,40.32857142857143,9.07,no,15
5,132,2,2017-12-06,Aspen,TL,3231.714285714286,-9.714285714285714,-5.142857142857143,-15.571428571428573,-17.0,69.42857142857143,2.8571428571428568,94.85714285714286,22.0,0.0,0.0,0.0,0.7714285714285715,,40.285714285714285,8.998571428571429,no,16
6,158,2,2017-12-07,Aspen,TL,3231.714285714286,-12.857142857142858,-9.285714285714286,-20.0,-17.857142857142858,77.42857142857143,3.1428571428571432,98.57142857142857,28.0,0.0,0.0,0.07142857142857142,0.5571428571428572,0.0,40.857142857142854,9.032857142857145,no,17
7,184,2,2017-12-08,Aspen,TL,3231.714285714286,-3.4285714285714284,-3.4285714285714284,-13.571428571428573,-16.857142857142858,38.714285714285715,4.571428571428571,2.571428571428572,31.0,0.0,0.0,0.5085714285714286,1.5142857142857145,0.03,39.642857142857146,9.508571428571429,yes,0
8,210,2,2017-12-09,Aspen,TL,3231.714285714286,-2.0,-0.8571428571428571,-10.142857142857142,-22.142857142857146,21.428571428571427,13.0,272.0,27.42857142857143,0.0,0.0,0.0,1.3,0.0,40.0,9.4,yes,0
9,236,2,2017-12-10,Aspen,TL,3231.714285714286,-1.2857142857142858,0.42857142857142855,-9.857142857142858,-26.57142857142857,13.428571428571427,5.571428571428571,261.42857142857144,23.0,0.0,0.0,0.0,0.42857142857142855,0.0,39.9,9.471428571428572,no,1
10,262,2,2017-12-11,Aspen,TL,3231.714285714286,0.8571428571428571,2.0,-7.857142857142858,-24.57142857142857,14.571428571428573,14.142857142857142,291.42857142857144,43.0,0.0,0.0,0.10714285714285714,0.42857142857142855,0.0,39.857142857142854,9.507142857142854,no,2
11,288,2,2017-12-12,Aspen,TL,3231.714285714286,1.8571428571428568,3.0,-6.428571428571429,-12.428571428571427,35.714285714285715,4.142857142857143,262.57142857142856,8.0,0.0,0.0,0.14285714285714285,0.42857142857142855,,39.857142857142854,9.614285714285714,no,3
12,314,2,2017-12-13,Aspen,TL,3231.714285714286,1.2857142857142858,4.428571428571429,-6.142857142857142,-18.428571428571427,23.714285714285715,8.714285714285714,250.0,13.0,0.0,0.0,0.1442857142857143,0.21428571428571427,0.0,38.92857142857143,9.505714285714287,no,4
13,340,2,2017-12-14,Aspen,TL,3231.714285714286,-5.857142857142858,2.571428571428572,-7.7142857142857135,-11.0,93.0,6.142857142857142,110.85714285714286,21.0,0.0,0.05,0.3257142857142857,0.0,0.28,159.7,10.05,no,5
14,366,2,2017-12-15,Aspen,TL,3236.1111111111113,-2.333333333333333,-2.333333333333333,-12.666666666666664,-22.222222222222207,22.555555555555557,12.0,259.6666666666667,37.0,0.0,0.0,0.10333333333333332,0.0,0.0,37.977777777777774,8.805555555555557,no,6
15,392,2,2017-12-16,Aspen,TL,3236.1111111111113,1.4444444444444444,1.6666666666666667,-5.888888888888888,-21.555555555555557,17.555555555555557,12.333333333333336,207.0,31.0,0.0,0.0,0.3266666666666667,0.0,0.0,37.57777777777777,9.03,no,7
16,418,2,2017-12-17,Aspen,TL,3236.1111111111113,-4.0,2.6666666666666665,-10.777777777777779,-19.11111111111111,32.22222222222222,10.666666666666666,208.33333333333331,24.0,0.0,0.0,0.0,0.0,0.0,37.21111111111111,8.918888888888889,no,8
17,444,2,2017-12-18,Aspen,TL,3236.1111111111113,-1.3333333333333333,-1.2222222222222223,-11.888888888888893,-10.444444444444443,59.111111111111114,1.6666666666666667,105.66666666666669,13.0,0.0,0.0,0.05555555555555555,0.0,0.0,36.21111111111111,8.91888888888889,no,9
18,470,2,2017-12-19,Aspen,TL,3236.1111111111113,-2.0,-0.1111111111111111,-8.333333333333334,-10.777777777777779,54.77777777777778,0.6666666666666666,102.0,13.0,0.0,0.0,0.0,0.0,0.0,36.444444444444436,9.087777777777779,no,10
19,496,2,2017-12-20,Aspen,TL,3242.5,0.9,1.8,-6.7,-15.4,33.8,27.0,199.6,55.0,0.0,0.0,0.253,0.0,0.0,37.41,8.408,no,11
20,522,2,2017-12-21,Aspen,TL,3242.5,-5.4,1.8,-8.8,-10.4,74.8,2.8,63.6,24.0,0.0,0.05,0.075,0.4,0.12999999999999998,119.5,8.508,no,12
21,548,2,2017-12-22,Aspen,TL,3242.5,-9.8,-4.6,-17.7,-14.9,82.3,12.0,327.6,33.0,0.0,0.0,0.22699999999999998,0.2,0.36,49.4,8.737,no,13
22,574,2,2017-12-23,Aspen,TL,3242.5,-7.0,-6.6,-11.9,-9.9,88.2,21.8,209.6,45.8,0.05,0.07999999999999999,0.6599999999999999,1.3,0.0,146.35999999999996,9.475,yes,0
23,600,2,2017-12-24,Aspen,TL,3242.5,-10.3,-6.3,-16.5,-18.0,62.3,14.6,272.0,29.0,0.0,0.0,0.203,0.3,0.2,53.67,9.832,no,1
24,626,2,2017-12-25,Aspen,TL,3242.5,-5.8,-5.3,-10.6,-8.2,93.2,26.8,260.8,52.2,0.0,0.36,1.218,1.38,0.030000000000000006,58.17,11.351000000000004,yes,0
