,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,5,5,2018-01-01,Front Range,TL,3223.2352941176478,-1.0,-0.8235294117647058,-10.352941176470589,-21.823529411764707,21.058823529411768,25.882352941176467,202.82352941176467,38.23529411764706,0.2333333333333333,0.3577777777777778,0.04411764705882353,,,61.55882352941178,14.061176470588233,no,11
1,31,5,2018-01-02,Front Range,TL,3223.2352941176478,-5.647058823529411,0.0,-14.235294117647054,-18.176470588235293,53.29411764705882,13.235294117647054,177.2352941176471,18.176470588235293,0.0,0.9944444444444444,0.3175,,,60.27647058823529,13.940588235294115,no,12
2,57,5,2018-01-03,Front Range,TL,3223.2352941176478,0.5294117647058824,1.0,-10.235294117647056,-18.529411764705888,24.35294117647059,17.470588235294116,215.05882352941174,30.823529411764717,0.2955555555555556,1.54,0.4611764705882353,,,58.864705882352936,14.075294117647061,no,13
3,83,5,2018-01-04,Front Range,TL,3223.2352941176478,1.0588235294117647,3.117647058823529,-8.117647058823529,-25.235294117647058,14.117647058823529,15.294117647058822,181.35294117647058,20.705882352941178,0.3188888888888889,2.2088888888888887,0.04411764705882353,,,57.941176470588225,14.10529411764706,no,14
4,109,5,2018-01-05,Front Range,TL,3223.2352941176478,2.0,3.5882352941176467,-4.882352941176472,-7.9411764705882355,50.0,22.52941176470589,217.29411764705884,36.29411764705883,0.3188888888888889,2.767777777777777,0.07352941176470587,,,57.51176470588236,14.121176470588233,no,15
5,135,5,2018-01-06,Front Range,TL,3223.2352941176478,1.8235294117647056,3.882352941176471,-3.5882352941176467,-5.117647058823528,62.05882352941178,25.35294117647059,207.7647058823529,36.0,0.33444444444444443,4.248888888888889,0.04411764705882353,,,56.18235294117648,14.134705882352948,no,16
6,161,5,2018-01-07,Front Range,TL,3223.2352941176478,-3.8235294117647056,2.176470588235294,-5.941176470588236,-6.941176470588236,90.94117647058823,18.647058823529417,194.17647058823533,29.0,0.0,0.53,0.7458823529411764,,,61.57058823529411,14.822352941176472,no,17
7,187,5,2018-01-08,Front Range,TL,3227.6875,4.0,4.0625,-6.4375,-8.6875,36.625,19.75,192.25,27.4375,0.3,0.86,0.109375,,,64.20625,15.064374999999998,no,18
8,213,5,2018-01-09,Front Range,TL,3223.2352941176478,4.117647058823529,7.0,-0.8235294117647058,-0.5882352941176471,73.58823529411767,19.764705882352946,170.17647058823533,31.52941176470589,0.3922222222222222,7.239999999999997,0.05882352941176471,,,62.576470588235296,14.834705882352939,no,19
9,239,5,2018-01-10,Front Range,TL,3223.2352941176478,1.0588235294117647,5.294117647058823,-1.0588235294117647,-2.0588235294117645,85.88235294117645,19.823529411764707,203.17647058823533,28.52941176470589,0.6877777777777778,7.059999999999999,0.029411764705882363,,,59.882352941176464,14.924705882352939,no,20
10,265,5,2018-01-11,Front Range,TL,3223.2352941176478,-9.941176470588236,1.5882352941176472,-11.764705882352946,-12.882352941176471,85.94117647058823,27.35294117647059,203.7647058823529,41.0,0.0,3.1377777777777776,0.6717647058823529,,,72.47647058823529,15.582352941176472,no,21
11,291,5,2018-01-12,Front Range,TL,3223.2352941176478,-5.0588235294117645,-4.647058823529412,-10.588235294117649,-9.058823529411764,95.05882352941177,30.235294117647058,223.5882352941176,42.23529411764706,0.03,,0.8970588235294118,,,108.71764705882352,16.27058823529412,no,22
12,317,5,2018-01-13,Front Range,TL,3227.6875,-4.0625,-2.875,-7.25,-1.625,92.875,24.125,207.75,34.0,0.0,0.2,0.4587500000000001,,,80.5125,16.939999999999998,no,23
13,343,5,2018-01-14,Front Range,TL,3227.6875,-0.625,0.0,-7.625,-1.6875,76.0625,15.0625,258.25,25.0625,0.41,0.69,0.094375,,,80.0625,17.018749999999994,no,24
14,369,5,2018-01-15,Front Range,TL,3227.6875,-5.9375,1.1875,-8.1875,-1.5625,93.6875,15.75,176.0625,28.6875,0.0,2.29,0.0625,,,70.03125,16.969375,no,25
15,395,5,2018-01-16,Front Range,TL,3227.6875,-4.0,-3.0,-18.125,-15.1875,34.0,6.6875,217.4375,11.625,0.0,0.03,0.063125,,,75.68124999999998,16.828125,no,26
16,421,5,2018-01-17,Front Range,TL,3223.2352941176478,-0.7058823529411765,0.05882352941176471,-10.117647058823527,-9.235294117647056,60.411764705882355,11.117647058823529,147.64705882352942,16.529411764705884,0.3133333333333333,1.83,0.4617647058823529,,,73.76470588235293,16.779411764705884,no,27
17,447,5,2018-01-18,Front Range,TL,3223.2352941176478,2.8823529411764706,3.1764705882352944,-7.235294117647059,-13.117647058823529,35.470588235294116,9.529411764705884,198.29411764705884,16.88235294117647,0.3755555555555555,3.8477777777777766,0.14705882352941174,,,71.94117647058823,16.884117647058822,no,28
18,473,5,2018-01-19,Front Range,TL,3223.2352941176478,5.470588235294118,6.117647058823527,-1.5294117647058822,-6.411764705882352,42.29411764705883,35.76470588235294,212.64705882352942,56.235294117647065,0.0,6.165555555555558,0.014705882352941175,,,70.7764705882353,16.852941176470587,no,29
19,499,5,2018-01-20,Front Range,TL,3227.6875,4.375,7.0,-2.0625,-1.25,49.5625,23.0625,221.125,43.3125,0.43,4.32,0.015625,,,70.1,17.081875,no,30
20,525,5,2018-01-21,Front Range,TL,3223.2352941176478,-10.176470588235292,4.823529411764706,-10.588235294117649,-14.235294117647054,91.70588235294115,13.294117647058822,79.29411764705883,20.764705882352946,0.0,,1.0894117647058823,,,112.4,17.912941176470586,no,31
21,551,5,2018-01-22,Front Range,TL,3223.2352941176478,-9.235294117647056,-8.294117647058824,-16.470588235294116,-12.352941176470587,88.1764705882353,16.176470588235293,185.17647058823533,26.294117647058826,0.0,0.0066666666666666645,0.5823529411764706,,,85.41176470588233,18.36294117647059,no,32
22,577,5,2018-01-23,Front Range,TL,3223.2352941176478,-8.411764705882353,-6.705882352941178,-13.470588235294118,-12.352941176470587,79.6470588235294,27.176470588235286,221.29411764705884,38.882352941176464,0.0,0.0,0.1476470588235294,,,84.13529411764705,18.588823529411766,no,33
23,603,5,2018-01-24,Front Range,TL,3223.2352941176478,-1.5294117647058822,-1.4705882352941178,-12.058823529411766,-11.529411764705882,51.70588235294117,19.647058823529417,243.7647058823529,32.94117647058823,0.4522222222222223,0.7211111111111109,0.1176470588235294,,,81.38235294117645,18.70647058823529,no,34
24,629,5,2018-01-25,Front Range,TL,3223.2352941176478,1.5882352941176472,2.3529411764705883,-5.352941176470588,-17.941176470588232,30.52941176470589,16.705882352941178,231.17647058823533,28.176470588235286,0.4866666666666666,3.4633333333333334,0.08823529411764706,,,79.75882352941177,18.81176470588235,no,35
25,655,5,2018-01-26,Front Range,TL,3227.6875,-10.0,4.5,-11.4375,-10.1875,89.625,20.625,207.5,30.6875,0.0,3.86,0.38,,,87.8625,19.304375,no,36
26,681,5,2018-01-27,Front Range,TL,3227.6875,-6.8125,-6.8125,-14.1875,-12.375,53.3125,16.125,215.5,27.4375,0.0,0.0,0.15625,,,85.75,19.335625,no,37
27,707,5,2018-01-28,Front Range,TL,3227.6875,-3.875,-3.6875,-8.625,-1.75,88.875,25.8125,202.3125,39.5,0.0,0.0,0.171875,,,84.73125,19.4475,no,38
28,733,5,2018-01-29,Front Range,TL,3227.6875,0.6875,0.75,-5.875,-3.625,58.125,18.75,258.75,30.6875,0.71,1.32,0.125,,,82.28750000000002,19.574375,no,39
29,759,5,2018-01-30,Front Range,TL,3223.2352941176478,4.117647058823529,4.235294117647058,-4.117647058823529,-13.352941176470587,27.588235294117645,35.529411764705884,214.05882352941174,52.05882352941178,0.15333333333333332,7.059999999999999,0.14705882352941174,,,80.67647058823529,19.423529411764704,no,40
30,785,5,2018-01-31,Front Range,TL,3223.2352941176478,1.4705882352941178,5.8235294117647065,-1.2941176470588236,-9.941176470588236,43.17647058823529,44.529411764705884,225.94117647058826,70.11764705882354,0.16444444444444445,,0.08823529411764706,,,78.5764705882353,19.17,no,41
