,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,7,7,2018-01-01,Grand Mesa,TL,3100.8,-1.0,0.8,-10.6,-31.0,10.0,4.0,249.0,14.0,0.0,0.0,0.0,0.0,0.0,16.1,2.5380000000000003,no,11
1,33,7,2018-01-02,Grand Mesa,TL,3100.8,-4.8,1.2,-13.6,-32.0,12.0,3.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,14.98,2.438,no,12
2,59,7,2018-01-03,Grand Mesa,TL,3100.8,1.0,1.0,-10.0,-26.0,13.0,4.0,191.0,10.0,0.0,0.0,0.152,0.0,0.0,14.98,2.49,no,13
3,85,7,2018-01-04,Grand Mesa,TL,3100.8,1.0,4.6,-9.6,-35.0,6.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,13.56,1.878,no,14
4,111,7,2018-01-05,Grand Mesa,TL,3100.8,2.2,5.4,-7.0,-21.0,19.0,2.0,291.0,11.0,0.0,0.0,0.05,0.0,0.0,15.96,1.778,no,15
5,137,7,2018-01-06,Grand Mesa,TL,3100.8,0.2,6.0,-5.0,-7.0,67.0,14.0,188.0,25.0,0.0,0.0,0.0,0.0,0.0,15.139999999999995,1.7280000000000002,no,16
6,163,7,2018-01-07,Grand Mesa,TL,3100.8,-3.6,0.6,-7.2,-7.0,94.0,2.0,10.0,6.0,0.0,1.126,0.5820000000000001,9.12,0.56,23.58,2.846,yes,0
7,189,7,2018-01-08,Grand Mesa,TL,3100.8,2.0,2.0,-9.4,-17.0,26.0,14.0,179.0,32.0,0.0,0.0,0.05,0.0,0.0,23.88000000000001,2.9479999999999995,no,1
8,215,7,2018-01-09,Grand Mesa,TL,3100.8,0.2,5.8,-3.2,-3.0,93.0,13.0,200.0,27.0,0.0,0.8560000000000001,0.254,8.16,0.13,32.4,3.2019999999999995,yes,0
9,241,7,2018-01-10,Grand Mesa,TL,3100.8,-1.4,1.0,-2.0,-4.0,96.0,14.0,199.0,30.0,0.0,0.8420000000000001,0.71,7.12,0.0,32.61999999999999,4.062,yes,0
10,267,7,2018-01-11,Grand Mesa,TL,3100.8,-7.0,-1.0,-13.0,-11.0,89.0,2.0,31.0,8.0,0.0,2.112,0.6799999999999999,18.72,0.38,42.72000000000001,4.775999999999999,yes,0
11,293,7,2018-01-12,Grand Mesa,TL,3100.8,-5.2,-3.8,-10.2,-9.0,95.0,5.0,327.0,17.0,0.0,0.0,0.0,0.0,0.15,48.88,4.824000000000002,no,1
12,319,7,2018-01-13,Grand Mesa,TL,3100.8,-3.2,-2.8,-12.8,-9.0,69.0,3.0,284.0,10.0,0.0,0.0,0.05,0.0,0.64,120.5,4.828,no,2
13,345,7,2018-01-14,Grand Mesa,TL,3100.8,0.2,0.4,-11.0,-16.0,29.0,1.0,61.0,7.0,0.0,0.0,0.05,0.0,0.0,120.4,5.0280000000000005,no,3
14,371,7,2018-01-15,Grand Mesa,TL,3100.8,-0.2,4.4,-10.6,-12.0,43.0,2.0,353.0,9.0,0.0,0.0,0.0,0.0,0.0,32.379999999999995,5.081999999999999,no,4
15,397,7,2018-01-16,Grand Mesa,TL,3100.8,-2.6,0.8,-16.4,-38.0,5.0,0.0,267.0,5.0,0.0,0.0,0.508,0.0,0.0,30.88000000000001,4.978,no,5
16,423,7,2018-01-17,Grand Mesa,TL,3100.8,-0.2,1.8,-14.0,-16.0,31.0,1.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,32.62,5.0299999999999985,no,6
17,449,7,2018-01-18,Grand Mesa,TL,3100.8,0.8,1.2,-10.4,-28.0,10.0,0.0,124.0,2.0,0.0,0.0,0.05,0.0,0.0,35.9,5.13,no,7
