,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,11,11,2017-12-01,North San Juan,>TL,3706.375,-1.625,0.625,-4.125,-7.375,70.0,15.0,194.125,34.25,0.0,0.0,0.0,0.15,,9.275,1.6475,no,11
1,37,11,2017-12-02,North San Juan,>TL,3706.375,-0.375,0.375,-5.25,-9.125,57.875,17.75,214.125,30.0,0.0,0.0,0.1275,0.15,,8.8125,1.6475,no,12
2,63,11,2017-12-03,North San Juan,>TL,3706.375,-2.375,2.25,-5.125,-7.375,74.5,34.75,224.375,64.375,0.0,0.0,0.06375,0.5,0.0,8.962499999999997,2.225,no,13
3,89,11,2017-12-04,North San Juan,>TL,3706.375,-11.75,-0.875,-17.125,-25.375,37.25,6.75,80.75,18.875,0.0,0.03,0.03125,0.9,0.03,9.4,1.55625,no,14
4,115,11,2017-12-05,North San Juan,>TL,3706.375,-5.875,-5.625,-16.0,-31.625,14.0,7.125,72.375,16.375,0.0,0.0,0.085,1.15,,9.725,4.7962500000000015,yes,0
5,141,11,2017-12-06,North San Juan,>TL,3706.375,-8.5,-3.375,-10.75,-25.5,29.75,13.75,258.125,29.75,0.0,0.0,0.0,1.15,,9.0125,5.0775000000000015,yes,0
6,167,11,2017-12-07,North San Juan,>TL,3706.375,-15.0,-7.875,-20.125,-21.5,70.0,26.25,167.0,51.5,0.0,0.0,0.0,0.0,0.0,9.0875,4.9837500000000015,no,1
7,193,11,2017-12-08,North San Juan,>TL,3706.375,-5.875,-5.375,-15.625,-17.0,47.625,30.25,249.125,54.5,0.0,0.0,0.1275,0.25,0.03,9.775,5.21,no,2
8,219,11,2017-12-09,North San Juan,>TL,3706.375,-1.5,-1.375,-8.25,-29.0,12.0,11.625,209.125,22.625,0.0,0.0,0.0,0.0,0.0,9.325,5.24125,no,3
9,245,11,2017-12-10,North San Juan,>TL,3706.375,0.75,0.75,-6.375,-35.625,6.0,5.75,129.875,13.625,0.0,0.0,0.0625,0.0,0.0,9.1375,5.21,no,4
10,271,11,2017-12-11,North San Juan,>TL,3719.857142857143,0.8571428571428571,1.7142857142857142,-4.285714285714286,-19.857142857142858,22.57142857142857,14.0,296.85714285714283,25.285714285714285,0.0,0.0,0.03571428571428571,0.0,0.0,3.628571428571429,1.851428571428572,no,5
11,297,11,2017-12-12,North San Juan,>TL,3706.375,2.875,3.75,-3.0,-21.0,17.75,10.875,193.0,18.875,0.0,0.0,0.0,0.0,,8.4375,5.43,no,6
12,323,11,2017-12-13,North San Juan,>TL,3706.375,-0.5,4.625,-4.25,-25.25,14.75,8.625,112.875,17.625,0.0,0.0,0.0,0.0,0.0,8.8875,5.43,no,7
13,349,11,2017-12-14,North San Juan,>TL,3706.375,-8.375,2.125,-10.875,-11.625,87.875,15.75,203.0,30.375,0.0,0.43,0.235,3.8,0.28,11.85,1.83875,yes,0
14,375,11,2017-12-15,North San Juan,>TL,3706.375,-2.625,-2.625,-12.0,-25.625,18.25,12.125,147.25,26.0,0.0,0.0,0.1175,0.0,0.0,10.7125,2.79125,no,1
15,401,11,2017-12-16,North San Juan,>TL,3719.857142857143,-1.2857142857142858,1.0,-4.428571428571429,-24.714285714285715,17.428571428571427,14.428571428571427,179.0,22.57142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,3.2571428571428567,2.972857142857144,no,2
16,427,11,2017-12-17,North San Juan,>TL,3719.857142857143,-5.857142857142858,-0.14285714285714285,-9.714285714285714,-21.857142857142854,31.285714285714285,11.571428571428573,206.85714285714286,21.714285714285715,0.0,0.0,0.1457142857142857,0.0,0.0,3.985714285714285,2.6157142857142857,no,3
17,453,11,2017-12-18,North San Juan,>TL,3719.857142857143,-1.4285714285714286,-0.5714285714285714,-9.714285714285714,-21.571428571428577,24.714285714285715,8.428571428571429,113.85714285714286,16.428571428571427,0.0,0.0,0.03571428571428571,0.0,0.0,2.9,1.8142857142857145,no,4
18,479,11,2017-12-19,North San Juan,>TL,3719.857142857143,-2.4285714285714284,-0.5714285714285714,-7.571428571428571,-14.285714285714285,46.0,13.0,160.57142857142858,26.714285714285715,0.0,0.0,0.0,0.0,0.0,2.9,2.03,no,5
19,505,11,2017-12-20,North San Juan,>TL,3709.111111111111,-2.6666666666666665,-1.1111111111111112,-6.0,-20.555555555555557,26.555555555555557,34.888888888888886,210.0,65.1111111111111,0.0,0.0,0.027777777777777776,0.3555555555555556,0.0,7.833333333333332,5.786666666666666,no,6
20,531,11,2017-12-21,North San Juan,>TL,3709.111111111111,-11.111111111111107,-2.2222222222222223,-11.555555555555555,-13.555555555555555,88.33333333333331,22.555555555555557,164.11111111111111,51.111111111111114,0.0,0.33,0.0,8.533333333333331,0.13,14.444444444444445,1.7188888888888894,yes,0
21,557,11,2017-12-22,North San Juan,>TL,3720.7,-11.0,-10.0,-17.2,-20.1,54.8,29.6,172.3,52.4,0.0,0.07999999999999999,0.10099999999999999,1.2,0.36,13.679999999999998,1.5710000000000002,yes,0
22,583,11,2017-12-23,North San Juan,>TL,3709.111111111111,-7.1111111111111125,-7.1111111111111125,-11.666666666666664,-10.777777777777779,83.66666666666667,28.0,219.5555555555556,47.444444444444436,0.0,0.0,0.1855555555555556,25.288888888888888,0.0,5.0555555555555545,2.373333333333333,yes,0
23,609,11,2017-12-24,North San Juan,>TL,3720.7,-9.0,-7.4,-14.4,-30.6,20.6,20.8,219.2,36.7,0.0,0.07999999999999999,0.024,1.08,0.2,12.69,1.87,yes,0
24,635,11,2017-12-25,North San Juan,>TL,3720.7,-8.1,-6.2,-9.8,-11.1,84.2,24.9,237.7,46.3,0.0,0.0,0.15100000000000002,0.12,0.030000000000000006,14.3,1.9320000000000004,no,1
25,661,11,2017-12-26,North San Juan,>TL,3720.7,-5.1,-4.9,-9.3,-17.0,43.0,22.8,213.1,42.3,0.0,0.0,0.024,0.0,0.05,12.46,4.397,no,2
26,687,11,2017-12-27,North San Juan,>TL,3720.7,-4.9,-4.0,-9.2,-24.2,23.1,20.4,262.7,37.4,0.0,0.0,0.076,0.0,0.0,11.749999999999998,4.423,no,3
27,713,11,2017-12-28,North San Juan,>TL,3720.7,-4.3,-1.8,-6.9,-17.8,37.2,20.7,304.3,35.4,0.0,0.0,0.0,0.12,0.0,11.749999999999998,4.448,no,4
