,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,13,13,2018-01-01,Sangre,<TL,2487.3,2.1,6.4,-10.6,-13.8,30.0,6.0,173.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,11
1,39,13,2018-01-02,Sangre,<TL,2487.3,0.5,7.5,-10.3,-18.2,22.9,7.1,228.2,18.8,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,12
2,65,13,2018-01-03,Sangre,<TL,2487.3,2.6,6.7,-11.7,-23.3,12.7,5.1,162.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,no,13
3,91,13,2018-01-04,Sangre,<TL,2487.3,3.0,7.1,-10.2,-24.1,12.1,5.9,243.5,12.4,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,14
4,117,13,2018-01-05,Sangre,<TL,2487.3,4.0,8.4,-8.5,-19.0,16.9,2.9,172.8,9.4,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,15
5,143,13,2018-01-06,Sangre,<TL,2487.3,5.4,10.6,-4.0,-11.0,29.7,9.0,222.3,19.1,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,16
6,169,13,2018-01-07,Sangre,<TL,2487.3,2.5,8.8,-2.8,-7.8,49.0,9.5,227.3,20.9,0.0,0.009000000000000001,0.087,0.03,1.2200000000000002,1.0,1.02,no,17
7,195,13,2018-01-08,Sangre,<TL,2487.3,6.4,8.2,-6.4,-10.1,30.0,3.2,222.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,18
8,221,13,2018-01-09,Sangre,<TL,2487.3,10.1,11.6,0.8,-5.4,33.9,12.1,272.6,23.1,0.0,0.0,0.075,0.0,0.07999999999999999,0.0,1.02,no,19
9,247,13,2018-01-10,Sangre,<TL,2487.3,5.1,13.3,0.8,-3.2,55.1,13.1,263.4,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,no,20
10,273,13,2018-01-11,Sangre,<TL,2513.0,-1.0,8.0,-9.777777777777779,-15.111111111111107,33.333333333333336,7.4444444444444455,204.33333333333331,16.444444444444443,0.0,0.0488888888888889,0.17222222222222222,0.2444444444444444,0.0,1.4,0.76,no,21
11,299,13,2018-01-12,Sangre,<TL,2487.3,1.7,2.9,-8.7,-10.2,43.7,14.7,259.0,34.9,0.0,0.005,0.02,0.0,0.0,1.0,1.27,no,22
12,325,13,2018-01-13,Sangre,<TL,2487.3,0.6,4.2,-10.7,-11.4,41.2,9.2,198.3,17.3,0.0,0.006,0.0,0.0,0.12999999999999998,0.0,1.02,no,23
13,351,13,2018-01-14,Sangre,<TL,2487.3,4.4,6.0,-7.8,-9.6,35.4,5.4,181.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,24
14,377,13,2018-01-15,Sangre,<TL,2487.3,-1.8,8.4,-8.0,-9.9,60.1,4.6,176.0,13.3,0.0,0.0,0.0,0.0,0.0,1.0,0.51,no,25
15,403,13,2018-01-16,Sangre,<TL,2471.818181818182,-6.1818181818181825,-1.0909090909090908,-13.909090909090908,-10.909090909090908,67.81818181818181,5.636363636363638,282.1818181818182,12.454545454545455,0.0,0.004545454545454546,0.0,0.5181818181818182,0.002727272727272727,0.4727272727272727,0.0,yes,0
16,429,13,2018-01-17,Sangre,<TL,2487.3,1.1,2.3,-13.2,-15.3,30.5,3.8,167.9,10.0,0.0,0.0,0.075,0.0,0.0,0.0,0.51,no,1
17,455,13,2018-01-18,Sangre,<TL,2487.3,5.1,8.4,-9.2,-13.8,24.2,6.2,153.1,13.1,0.0,0.0,0.075,0.0,0.0,0.0,0.76,no,2
18,481,13,2018-01-19,Sangre,<TL,2487.3,8.3,9.6,-4.3,-13.0,20.9,7.7,241.9,17.6,0.0,0.0,0.153,0.0,0.0,0.0,1.02,no,3
19,507,13,2018-01-20,Sangre,<TL,2487.3,8.9,11.6,-2.5,-8.2,29.5,13.9,203.9,31.0,0.0,0.0,0.075,4.5600000000000005,0.0,1.0,0.76,yes,0
20,533,13,2018-01-21,Sangre,<TL,2476.0,-6.5,10.4,-7.1,-8.3,85.2,7.6,139.3,16.9,0.0,0.135,0.0,3.16,0.1,18.81,1.27,yes,0
21,559,13,2018-01-22,Sangre,<TL,2480.3,-6.4,-4.9,-16.6,-15.0,50.4,9.9,224.8,21.3,0.0,0.14900000000000002,0.071,4.0,0.9229999999999999,9.68,1.52,yes,0
22,585,13,2018-01-23,Sangre,<TL,2498.444444444445,-1.4444444444444444,-0.6666666666666666,-14.555555555555555,-14.0,37.77777777777778,2.888888888888889,152.55555555555554,10.555555555555557,0.0,0.1855555555555556,0.3533333333333333,0.0,0.0,6.644444444444442,1.78,no,1
23,611,13,2018-01-24,Sangre,<TL,2498.444444444445,1.8888888888888888,3.0,-13.222222222222221,-15.222222222222221,28.555555555555557,8.222222222222221,249.5555555555556,16.22222222222222,0.0,0.028888888888888888,0.17,0.0,0.0,5.488888888888887,2.29,no,2
