,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,16,16,2018-01-01,Sawatch,>TL,3603.0,-5.8,-2.6,-10.6,-22.0,31.4,23.8,164.0,34.4,0.0,0.0,0.0,0.0,0.0,25.72,1.828,no,11
1,42,16,2018-01-02,Sawatch,>TL,3603.0,-10.6,-3.2,-14.2,-25.2,32.0,27.2,157.4,40.8,0.0,0.0,0.0,0.0,0.0,25.28,1.6279999999999997,no,12
2,68,16,2018-01-03,Sawatch,>TL,3603.0,-3.0,-2.6,-11.0,-26.4,15.8,17.2,263.4,27.0,0.0,0.0,0.05,0.0,0.0,25.6,1.88,no,13
3,94,16,2018-01-04,Sawatch,>TL,3603.0,-2.2,-1.4,-6.6,-31.0,10.2,7.4,258.4,12.0,0.0,0.0,0.0,0.0,0.0,24.76,1.828,no,14
4,120,16,2018-01-05,Sawatch,>TL,3603.0,-3.0,-0.6,-6.8,-15.4,40.0,17.2,269.4,25.8,0.0,0.0,0.0,0.0,0.0,26.8,1.828,no,15
5,146,16,2018-01-06,Sawatch,>TL,3603.0,-3.4,-0.4,-6.0,-9.8,63.0,29.0,273.4,40.6,0.0,0.0,0.0,0.0,0.0,27.44,1.6279999999999997,no,16
6,172,16,2018-01-07,Sawatch,>TL,3603.0,-8.6,-2.6,-9.2,-9.8,91.4,16.8,167.0,26.6,0.0,0.51,0.6619999999999999,0.0,0.56,34.54,2.49,no,17
7,198,16,2018-01-08,Sawatch,>TL,3603.0,0.8,0.8,-9.0,-19.0,22.2,25.0,259.2,22.8,0.0,0.13,0.12999999999999998,0.0,0.0,33.84,2.542,no,18
8,224,16,2018-01-09,Sawatch,>TL,3603.0,-0.4,3.2,-4.8,-4.8,78.0,27.2,275.8,39.2,0.0,0.69,0.5519999999999999,10.2,0.13,42.38,3.1499999999999995,yes,0
9,250,16,2018-01-10,Sawatch,>TL,3603.0,-3.2,0.6,-5.2,-6.2,84.0,18.0,274.6,34.0,0.0,0.3,0.24,8.9,0.0,38.82000000000001,3.3499999999999988,yes,0
10,276,16,2018-01-11,Sawatch,>TL,3603.0,-13.6,-2.8,-16.0,-16.4,82.2,20.8,274.4,35.4,0.0,0.66,0.6300000000000001,23.4,0.38,42.68,4.0680000000000005,yes,0
11,302,16,2018-01-12,Sawatch,>TL,3603.0,-9.4,-9.4,-14.0,-11.0,91.6,21.8,286.0,36.8,0.0,0.0,0.102,0.0,0.15,58.52,4.3180000000000005,no,1
12,328,16,2018-01-13,Sawatch,>TL,3603.0,-8.8,-7.6,-12.4,-10.6,86.0,22.4,166.6,33.6,0.0,0.0,0.0,0.0,0.64,40.84,4.168,no,2
13,354,16,2018-01-14,Sawatch,>TL,3603.0,-4.8,-4.6,-10.4,-13.6,57.8,18.8,292.8,29.0,0.0,0.0,0.05,0.0,0.0,40.86000000000001,4.168,no,3
14,380,16,2018-01-15,Sawatch,>TL,3603.0,-5.6,-2.4,-9.2,-12.6,62.8,16.8,164.6,29.6,0.0,0.0,0.0,0.0,0.0,41.540000000000006,4.168,no,4
15,406,16,2018-01-16,Sawatch,>TL,3603.0,-6.6,-4.0,-13.2,-31.8,13.2,10.0,222.4,13.0,0.0,0.0,0.0,0.0,0.0,39.1,4.168,no,5
16,432,16,2018-01-17,Sawatch,>TL,3603.0,-3.6,-3.2,-10.2,-21.4,31.4,8.8,164.0,17.2,0.0,0.0,0.05,0.0,0.0,41.540000000000006,4.168,no,6
17,458,16,2018-01-18,Sawatch,>TL,3603.0,-3.4,-1.2,-8.4,-20.8,28.6,17.8,165.8,29.2,0.0,0.0,0.05,0.0,0.0,41.040000000000006,4.168,no,7
18,484,16,2018-01-19,Sawatch,>TL,3603.0,-0.4,0.8,-4.4,-13.4,38.8,31.6,268.4,46.4,0.0,0.0,0.25,0.0,0.0,40.540000000000006,4.619999999999999,no,8
19,510,16,2018-01-20,Sawatch,>TL,3603.0,-2.0,1.4,-6.0,-9.8,58.0,25.2,234.6,37.8,0.0,0.0,0.0,0.0,0.0,39.42,4.42,no,9
20,536,16,2018-01-21,Sawatch,>TL,3603.0,-13.2,-1.0,-13.6,-15.0,87.4,18.0,274.8,27.4,0.0,0.28,0.4780000000000001,0.0,0.08,70.06,5.889999999999999,no,10
21,562,16,2018-01-22,Sawatch,>TL,3603.0,-16.0,-13.2,-20.2,-19.2,80.6,24.0,169.0,33.4,0.0,0.1,0.182,19.1,0.56,51.38000000000001,5.7920000000000025,yes,0
22,588,16,2018-01-23,Sawatch,>TL,3603.0,-13.2,-11.8,-16.6,-17.6,72.0,21.0,300.4,29.6,0.0,0.0,0.0,1.5,0.1,49.98,5.992000000000001,yes,0
23,614,16,2018-01-24,Sawatch,>TL,3603.0,-7.0,-7.0,-14.2,-18.4,42.8,30.2,265.6,37.4,0.0,0.0,0.05,0.0,0.0,47.76000000000001,6.0420000000000025,no,1
24,640,16,2018-01-25,Sawatch,>TL,3603.0,-4.6,-3.6,-8.4,-22.2,24.4,26.4,234.6,38.8,0.0,0.0,0.0,0.0,0.0,50.3,6.25,no,2
25,666,16,2018-01-26,Sawatch,>TL,3603.0,-13.6,-1.6,-14.0,-16.8,85.8,22.4,164.8,42.2,0.0,0.0,0.0,11.4,0.64,47.86,5.692,yes,0
26,692,16,2018-01-27,Sawatch,>TL,3603.0,-10.2,-10.2,-17.6,-28.2,23.2,26.8,282.0,40.4,0.0,0.0,0.05,0.0,0.18,44.5,5.484,no,1
27,718,16,2018-01-28,Sawatch,>TL,3603.0,-8.0,-8.0,-13.0,-14.2,64.0,24.0,171.8,42.6,0.0,0.0,0.05,0.0,0.0,44.1,5.744,no,2
28,744,16,2018-01-29,Sawatch,>TL,3603.0,-5.2,-4.2,-10.8,-11.6,65.4,24.0,156.0,32.8,0.0,0.0,0.0,0.0,0.0,44.9,5.744,no,3
29,770,16,2018-01-30,Sawatch,>TL,3603.0,-1.6,-0.4,-6.2,-18.0,31.0,44.8,281.2,61.0,0.0,0.0,0.0,0.0,0.0,43.4,6.194,no,4
30,797,17,2018-01-31,Sawatch,>TL,3603.0,-2.0,0.6,-5.2,-15.0,39.4,38.0,157.8,51.0,0.0,0.0,0.0,0.0,0.0,43.92,6.194,no,5
