,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,18,18,2017-12-01,South San Juan,<TL,2285.64,9.04,10.2,-2.12,-3.44,40.72,5.44,169.68,12.72,0.0,0.0,0.0036,0.0,0.0,25.399999999999995,0.7396,no,11
1,44,18,2017-12-02,South San Juan,<TL,2285.64,10.32,11.76,-2.6,-1.28,47.08,7.4,135.76,13.0,0.0,0.0,0.01,0.0,0.0,0.0,0.7500000000000001,no,12
2,70,18,2017-12-03,South San Juan,<TL,2285.64,7.68,11.8,-1.96,-1.32,57.6,7.32,159.68,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000000000001,no,13
3,96,18,2017-12-04,South San Juan,<TL,2304.68,1.48,8.84,-3.88,-20.44,19.64,9.88,207.2,17.36,0.0,0.0,0.02,0.0,0.41,0.0,0.4792,no,14
4,122,18,2017-12-05,South San Juan,<TL,2304.68,1.68,2.76,-11.72,-17.6,22.32,4.68,129.2,9.12,0.0,0.0,0.04,0.0,0.0,0.0,0.6992000000000002,no,15
5,148,18,2017-12-06,South San Juan,<TL,2304.68,2.72,4.88,-8.68,-16.08,25.24,5.4,118.16,10.76,0.0,0.0,0.0,0.0,0.0,25.399999999999995,0.7092000000000002,no,16
6,174,18,2017-12-07,South San Juan,<TL,2304.68,-1.6,4.64,-12.68,-16.72,32.12,11.28,158.08,19.12,0.0,0.0,0.02,0.0,0.0,0.0,1.0240000000000002,no,17
7,200,18,2017-12-08,South San Juan,<TL,2321.925925925926,3.1481481481481484,3.4074074074074074,-9.111111111111107,-10.777777777777779,33.37037037037037,5.962962962962963,159.85185185185185,14.703703703703706,0.0,0.0,0.03740740740740741,0.0,0.17999999999999994,25.399999999999995,0.9537037037037038,no,18
8,226,18,2017-12-09,South San Juan,<TL,2321.925925925926,6.592592592592593,8.333333333333334,-7.925925925925926,-13.074074074074074,23.703703703703702,4.888888888888889,171.25925925925932,10.407407407407408,0.0,0.0,0.0,0.0,0.0,25.399999999999995,0.9344444444444444,no,19
9,252,18,2017-12-10,South San Juan,<TL,2321.925925925926,6.703703703703702,10.333333333333334,-8.888888888888891,-14.925925925925926,21.296296296296298,4.703703703703703,199.44444444444446,9.925925925925926,0.0,0.0,0.009259259259259259,0.0,0.0,25.399999999999995,0.9344444444444444,no,20
10,278,18,2017-12-11,South San Juan,<TL,2306.3076923076924,7.846153846153848,10.538461538461537,-7.961538461538463,-14.423076923076925,19.384615384615387,5.307692307692308,138.03846153846158,12.961538461538465,0.0,0.0,0.019230769230769232,0.0,0.0,25.399999999999995,0.9707692307692308,no,21
11,304,18,2017-12-12,South San Juan,<TL,2304.68,8.72,12.48,-7.04,-13.08,19.72,3.44,119.48,9.36,0.0,0.0,0.0,0.0,0.0,25.399999999999995,0.9792,no,22
12,330,18,2017-12-13,South San Juan,<TL,2306.3076923076924,7.3076923076923075,11.961538461538465,-7.615384615384616,-12.730769230769232,22.653846153846153,4.4230769230769225,122.92307692307692,10.346153846153848,0.0,0.0,0.019230769230769232,0.0,0.0,25.399999999999995,0.9707692307692308,no,23
13,356,18,2017-12-14,South San Juan,<TL,2304.68,3.16,9.6,-3.08,-5.8,55.36,8.8,123.52,19.84,0.0,0.0068000000000000005,0.12599999999999995,0.0,0.33,0.0,0.9688,no,24
14,382,18,2017-12-15,South San Juan,<TL,2304.68,3.28,5.96,-10.4,-11.32,34.36,4.76,117.84,11.8,0.0,0.0,0.032400000000000005,0.0,0.0,27.899999999999995,0.7092000000000002,no,25
15,408,18,2017-12-16,South San Juan,<TL,2306.3076923076924,3.615384615384616,7.0,-8.384615384615385,-10.769230769230768,33.884615384615394,3.9230769230769234,153.38461538461542,8.192307692307693,0.0,0.004615384615384615,0.0,0.0,0.0,0.09615384615384616,0.7111538461538462,no,26
16,434,18,2017-12-17,South San Juan,<TL,2306.3076923076924,3.3846153846153846,7.461538461538463,-7.115384615384616,-14.307692307692307,27.76923076923077,5.1923076923076925,145.53846153846158,9.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.7111538461538462,no,27
17,460,18,2017-12-18,South San Juan,<TL,2306.3076923076924,4.269230769230768,7.153846153846152,-10.192307692307693,-12.653846153846152,27.69230769230769,3.8461538461538463,158.5,9.076923076923077,0.0,0.0,0.019230769230769232,0.0,0.0,27.899999999999995,0.7111538461538462,no,28
18,486,18,2017-12-19,South San Juan,<TL,2285.64,3.36,7.88,-9.28,-11.16,33.36,4.72,130.04,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9892,no,29
19,512,18,2017-12-20,South San Juan,<TL,2306.3076923076924,4.115384615384615,7.346153846153848,-8.961538461538463,-10.192307692307693,36.230769230769226,8.23076923076923,157.9230769230769,16.73076923076923,0.0,0.0,0.0,0.0,0.0,2.5,0.7211538461538463,no,30
20,538,18,2017-12-21,South San Juan,<TL,2304.68,-2.4,6.04,-3.32,-5.48,84.32,11.68,207.72,23.92,0.0252,0.0652,0.11400000000000005,2.24,0.154,6.56,1.2396,yes,0
21,564,18,2017-12-22,South San Juan,<TL,2306.3076923076924,-4.269230769230768,-1.7307692307692308,-16.692307692307693,-11.269230769230768,59.96153846153846,4.538461538461538,130.0769230769231,12.115384615384615,0.0,0.09153846153846157,0.05576923076923078,5.046153846153846,0.03,4.134615384615385,1.2507692307692309,yes,0
22,590,18,2017-12-23,South San Juan,<TL,2306.3076923076924,-0.6153846153846154,0.7307692307692307,-12.923076923076925,-9.153846153846152,55.23076923076921,5.6923076923076925,175.6923076923077,10.73076923076923,0.0,0.013846153846153843,0.021923076923076927,0.0,0.33,2.2846153846153845,1.2796153846153848,no,1
