,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,22,22,2018-01-01,Steamboat,TL,3223.0,-4.666666666666667,-4.0,-10.333333333333334,-12.0,52.0,0.0,0.0,2.0,0.0,0.0,0.016666666666666666,0.0,0.0,77.89999999999998,22.18333333333333,no,11
1,48,22,2018-01-02,Steamboat,TL,3219.75,-9.75,-5.25,-15.0,-18.75,53.75,2.25,210.75,4.75,0.0,0.0,0.0,0.0,0.0,67.925,20.005,no,12
2,74,22,2018-01-03,Steamboat,TL,3219.75,-2.0,-2.0,-11.0,-20.25,31.0,16.5,147.75,21.75,0.0,0.0,0.445,0.0,0.0,66.025,20.13,no,13
3,100,22,2018-01-04,Steamboat,TL,3219.75,-1.75,0.25,-6.25,-26.0,23.0,2.25,222.75,3.75,0.0,0.0,0.0625,0.0,0.0,64.775,20.0675,no,14
4,126,22,2018-01-05,Steamboat,TL,3219.75,-1.25,0.5,-5.25,-17.0,38.0,3.75,195.0,19.5,0.0,0.0,0.125,0.0,0.0,64.15,20.0675,no,15
5,152,22,2018-01-06,Steamboat,TL,3219.75,-1.75,0.25,-5.25,-9.0,72.0,18.75,180.0,23.25,0.0,0.0,0.125,0.0,0.0,62.85,20.0675,no,16
6,178,22,2018-01-07,Steamboat,TL,3219.75,-7.0,-1.75,-7.5,-7.75,93.75,19.5,276.0,26.75,0.0,0.36,1.14,4.6,0.36,74.92500000000003,21.7825,yes,0
7,204,22,2018-01-08,Steamboat,TL,3219.75,0.25,0.25,-7.5,-17.25,38.0,13.25,276.75,16.5,0.0,0.0,0.255,0.0,0.0,78.125,21.9075,no,1
8,230,22,2018-01-09,Steamboat,TL,3219.75,-0.25,2.25,-4.25,-2.25,96.25,20.25,220.75,23.75,0.05,0.36,0.635,3.8,0.43,87.625,22.6025,yes,0
9,256,22,2018-01-10,Steamboat,TL,3219.75,-2.25,0.0,-2.25,-3.5,99.0,19.5,302.25,29.25,0.0,0.0,0.5700000000000001,0.0,0.0,87.62499999999999,23.687500000000004,no,1
10,282,22,2018-01-11,Steamboat,TL,3219.75,-11.25,-2.25,-13.75,-13.25,86.0,22.75,175.75,32.0,0.0,0.1,1.46,1.8,0.25,103.5,25.4675,yes,0
11,308,22,2018-01-12,Steamboat,TL,3219.75,-6.5,-6.5,-11.5,-8.5,95.0,19.5,168.75,33.0,0.0,0.0,0.6975,0.0,0.0,86.39999999999998,26.7975,no,1
12,334,22,2018-01-13,Steamboat,TL,3219.75,-7.25,-5.25,-10.0,-10.5,90.5,21.75,150.0,28.5,0.0,0.0,0.825,1.0,0.05,79.375,26.794999999999995,yes,0
13,360,22,2018-01-14,Steamboat,TL,3219.75,-5.25,-5.0,-9.0,-9.75,92.5,2.25,125.25,3.75,0.0,0.0,0.6975,0.0,0.0,81.92500000000003,26.7975,no,1
14,386,22,2018-01-15,Steamboat,TL,3219.75,-6.25,-3.0,-8.25,-9.0,90.0,4.25,206.25,4.75,0.0,0.0,0.0625,0.0,0.0,79.975,27.0525,no,2
15,412,22,2018-01-16,Steamboat,TL,3219.75,-6.0,-4.5,-17.0,-10.0,90.5,2.25,184.5,2.75,0.0,0.0,0.25,0.0,0.0,66.0,26.86,no,3
16,438,22,2018-01-17,Steamboat,TL,3219.75,-4.5,-3.75,-10.5,-9.25,88.75,2.25,208.5,3.0,0.0,0.0,0.19,0.0,0.0,97.15,26.99,no,4
17,464,22,2018-01-18,Steamboat,TL,3219.75,-1.75,-1.5,-7.75,-11.25,69.25,2.25,192.0,3.75,0.0,0.0,0.19,0.0,0.0,95.9,26.99,no,5
18,490,22,2018-01-19,Steamboat,TL,3219.75,0.75,1.25,-3.75,-11.0,51.5,15.0,171.75,23.25,0.0,0.0,0.25,0.0,0.0,93.35,27.1175,no,6
19,516,22,2018-01-20,Steamboat,TL,3219.75,-2.25,2.0,-2.75,-5.25,88.5,32.25,147.25,45.5,0.0,0.0,0.0,0.0,0.0,86.35,27.4975,no,7
20,542,22,2018-01-21,Steamboat,TL,3219.75,-13.0,-1.75,-13.5,-14.0,86.0,9.75,69.5,28.75,0.0,0.3,1.0775,5.1,0.3,118.1,29.34,yes,0
21,568,22,2018-01-22,Steamboat,TL,3219.75,-12.75,-11.0,-17.75,-16.75,84.25,4.25,207.25,3.0,0.0,0.0,0.1275,0.0,0.0,112.375,29.465,no,1
22,594,22,2018-01-23,Steamboat,TL,3219.75,-10.5,-9.5,-14.75,-14.0,88.75,17.25,186.0,20.75,0.0,0.0,0.4425,0.0,0.0,95.9,29.8425,no,2
23,620,22,2018-01-24,Steamboat,TL,3219.75,-6.5,-6.25,-13.25,-15.25,63.25,16.5,166.5,20.75,0.0,0.0,0.255,0.0,0.0,106.075,29.8425,no,3
24,646,22,2018-01-25,Steamboat,TL,3219.75,-1.25,-1.25,-7.75,-19.25,37.75,23.25,110.25,31.25,0.0,0.0,0.445,0.0,0.0,106.05,29.845,no,4
25,672,22,2018-01-26,Steamboat,TL,3219.75,-12.5,-0.25,-14.25,-14.75,84.0,21.5,291.5,29.0,0.0,0.05,0.255,0.5,0.05,119.4,30.6075,no,5
26,698,22,2018-01-27,Steamboat,TL,3219.75,-9.75,-9.75,-15.5,-14.25,86.5,2.25,210.75,3.0,0.0,0.0,0.25,0.0,0.18,99.075,30.735,no,6
27,724,22,2018-01-28,Steamboat,TL,3219.75,-6.5,-6.25,-11.25,-11.5,87.75,24.0,226.5,33.0,0.0,0.0,0.3825,0.0,0.0,112.4,30.985,no,7
28,750,22,2018-01-29,Steamboat,TL,3219.75,-4.0,-3.5,-8.75,-8.0,89.75,3.0,154.5,12.0,0.0,0.0,0.125,0.0,0.0,109.2,30.985,no,8
29,776,22,2018-01-30,Steamboat,TL,3219.75,-0.25,0.25,-5.5,-13.25,47.75,27.0,183.0,35.25,0.0,0.0,0.3175,0.0,0.0,106.675,30.985,no,9
30,803,23,2018-01-31,Steamboat,TL,3219.75,-2.5,1.0,-4.0,-10.75,62.25,21.0,225.75,38.5,0.0,0.0,0.0625,0.0,0.0,106.025,30.985,no,10
