,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,21,21,2018-01-01,Steamboat,<TL,2540.833333333333,-2.8,1.4,-13.333333333333336,-13.766666666666667,56.76666666666666,3.566666666666667,118.66666666666669,7.066666666666666,0.0,0.0,0.246,0.0,0.0,42.32333333333335,12.910333333333336,no,11
1,47,21,2018-01-02,Steamboat,<TL,2540.833333333333,-5.566666666666666,0.4,-14.466666666666667,-14.533333333333333,63.9,2.9,128.16666666666666,7.2333333333333325,0.0,0.0,0.09233333333333334,0.0,0.0,54.21666666666666,12.700666666666667,no,12
2,73,21,2018-01-03,Steamboat,<TL,2540.833333333333,-3.1333333333333333,0.43333333333333335,-15.066666666666665,-17.8,47.4,3.6666666666666665,120.5,7.666666666666668,0.0,0.0,0.14333333333333334,0.0,0.0,40.89999999999999,12.86,no,13
3,99,21,2018-01-04,Steamboat,<TL,2540.833333333333,-0.8,2.5,-11.566666666666665,-16.766666666666666,37.93333333333333,1.5666666666666669,170.13333333333333,5.466666666666668,0.0,0.0,0.10033333333333333,0.0,0.0,52.04999999999998,12.902333333333333,no,14
4,125,21,2018-01-05,Steamboat,<TL,2540.833333333333,0.7333333333333333,4.8,-9.133333333333333,-13.966666666666667,41.0,2.4,132.6,7.866666666666666,0.0,0.0,0.03333333333333333,0.0,0.0,40.44666666666665,12.952666666666666,no,15
5,151,21,2018-01-06,Steamboat,<TL,2540.833333333333,0.9333333333333332,4.7,-6.633333333333334,-10.066666666666666,56.36666666666667,4.766666666666667,228.06666666666663,9.9,0.0,0.0,0.16033333333333333,0.0,0.0,40.456666666666656,13.316,no,16
6,177,21,2018-01-07,Steamboat,<TL,2540.833333333333,-0.4666666666666667,3.7666666666666666,-3.8666666666666663,-4.966666666666667,79.93333333333334,7.133333333333334,250.36666666666667,14.433333333333335,0.0,0.2546666666666667,0.5800000000000001,5.003333333333332,0.5176666666666665,64.56333333333335,14.530333333333333,yes,0
7,203,21,2018-01-08,Steamboat,<TL,2529.6774193548385,-0.5161290322580645,3.3548387096774195,-9.838709677419354,-8.387096774193548,75.90322580645163,3.838709677419355,175.35483870967738,7.548387096774192,0.0,0.16193548387096776,0.16129032258064516,0.06451612903225806,0.0,47.877419354838715,14.34741935483871,no,1
8,229,21,2018-01-09,Steamboat,<TL,2529.6774193548385,4.290322580645161,6.258064516129032,-2.419354838709677,-0.41935483870967744,78.16129032258064,7.32258064516129,120.32258064516131,14.870967741935484,0.045161290322580656,0.2196774193548388,0.3132258064516129,1.6741935483870962,0.3387096774193548,47.29354838709678,14.789032258064516,yes,0
9,255,21,2018-01-10,Steamboat,<TL,2541.9,2.7,6.5,0.2333333333333333,-0.03333333333333333,90.73333333333332,6.5,129.23333333333332,14.6,0.0,0.03866666666666666,0.30799999999999994,0.01,0.0,38.05333333333335,15.546,no,1
