,Unnamed: 0,Unnamed: 0.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm
0,24,24,2018-01-01,Vail/Summit,>TL,3736.75,-7.75,-7.25,-12.75,-21.5,33.25,20.25,269.0,41.75,0.0,0.0,0.0,0.0,0.0,24.3,1.32,no,11
1,50,24,2018-01-02,Vail/Summit,>TL,3736.75,-14.75,-6.0,-18.25,-27.5,35.25,22.25,272.0,35.0,0.0,0.0,0.0,0.0,0.0,22.425,6.6,no,12
2,76,24,2018-01-03,Vail/Summit,>TL,3736.75,-6.75,-6.75,-14.75,-23.5,26.0,20.25,250.25,33.0,0.0,0.0,0.0,0.0,0.0,20.875,6.6,no,13
3,102,24,2018-01-04,Vail/Summit,>TL,3736.75,-6.0,-3.5,-9.25,-29.75,14.25,13.0,243.0,27.25,0.0,0.0,0.0,0.0,0.0,23.55,6.6,no,14
4,128,24,2018-01-05,Vail/Summit,>TL,3736.75,-6.0,-3.5,-8.25,-15.25,49.0,23.0,244.5,37.5,0.0,0.0,0.25,0.0,0.0,23.425,6.86,no,15
5,154,24,2018-01-06,Vail/Summit,>TL,3736.75,-5.0,-3.75,-8.0,-9.25,72.25,26.75,263.75,48.5,0.0,0.0,0.0,0.0,0.0,22.325,6.86,no,16
6,180,24,2018-01-07,Vail/Summit,>TL,3736.75,-10.25,-4.0,-11.5,-12.0,85.25,24.25,260.25,37.75,0.0,0.66,0.05,7.725,0.69,30.45,7.87,yes,0
7,206,24,2018-01-08,Vail/Summit,>TL,3736.75,-1.75,-1.75,-11.0,-18.75,26.0,23.25,240.0,31.75,0.0,0.0,0.38,0.0,0.0,28.57500000000001,2.31,no,1
8,232,24,2018-01-09,Vail/Summit,>TL,3736.75,-2.75,1.25,-5.0,-5.75,81.25,30.5,271.75,52.0,0.0,0.03,0.1,0.0,0.0,28.32500000000001,8.13,no,2
9,258,24,2018-01-10,Vail/Summit,>TL,3736.75,-5.75,-1.5,-6.5,-7.25,88.5,16.25,265.25,29.25,0.0,0.0,0.13,0.0,0.0,24.25,8.38,no,3
10,284,24,2018-01-11,Vail/Summit,>TL,3736.75,-17.0,-5.0,-18.0,-19.0,83.25,26.0,321.25,45.5,0.0,0.53,0.15,0.0,0.0,23.875,8.89,no,4
11,310,24,2018-01-12,Vail/Summit,>TL,3736.75,-11.0,-11.0,-17.0,-12.5,89.75,34.25,315.75,70.5,0.0,0.0,0.3,4.0,0.15,29.775,9.4,yes,0
12,336,24,2018-01-13,Vail/Summit,>TL,3736.75,-11.25,-10.25,-13.5,-12.75,88.75,26.25,260.0,40.25,0.0,0.03,0.05,0.225,0.1,27.925,9.4,no,1
13,362,24,2018-01-14,Vail/Summit,>TL,3736.75,-7.75,-7.75,-11.75,-15.25,57.5,26.75,291.5,54.5,0.0,0.0,0.0,0.0,0.0,27.5,9.4,no,2
14,388,24,2018-01-15,Vail/Summit,>TL,3736.75,-10.5,-5.5,-11.25,-12.25,87.0,23.75,312.75,44.0,0.0,0.0,0.0,0.0,0.0,26.75,2.11,no,3
15,414,24,2018-01-16,Vail/Summit,>TL,3736.75,-10.5,-9.5,-17.75,-32.75,15.25,10.5,262.25,22.75,0.0,0.0,0.0,0.0,0.0,26.25,9.4,no,4
16,440,24,2018-01-17,Vail/Summit,>TL,3755.8,-8.8,-8.2,-11.0,-16.8,52.6,9.0,258.6,17.8,0.0,0.0,0.0,0.0,0.0,21.559999999999995,9.14,no,5
17,466,24,2018-01-18,Vail/Summit,>TL,3755.8,-5.2,-5.0,-10.0,-21.6,26.6,19.6,255.0,32.4,0.0,0.0,0.0,0.0,0.0,21.299999999999994,9.4,no,6
18,492,24,2018-01-19,Vail/Summit,>TL,3755.8,-1.8,-1.6,-5.4,-11.2,48.6,39.8,260.6,67.2,0.0,0.0,0.0,0.0,0.0,21.0,9.4,no,7
19,518,24,2018-01-20,Vail/Summit,>TL,3755.8,-3.8,-0.2,-6.4,-10.8,58.0,38.6,253.8,64.0,0.0,0.0,0.0,0.0,0.0,16.72,9.4,no,8
20,544,24,2018-01-21,Vail/Summit,>TL,3755.8,-15.8,-2.4,-15.8,-17.8,84.8,28.2,139.8,43.4,0.0,0.58,0.08,1.34,0.41,20.2,9.91,yes,0
21,570,24,2018-01-22,Vail/Summit,>TL,3755.8,-18.4,-15.2,-21.4,-21.6,75.4,29.4,146.4,44.0,0.0,0.0,0.03,0.0,0.13,20.14,0.13,no,1
22,596,24,2018-01-23,Vail/Summit,>TL,3755.8,-16.4,-14.8,-18.6,-18.6,83.2,30.8,273.2,48.2,0.0,0.0,0.0,0.0,0.0,22.82,10.16,no,2
23,622,24,2018-01-24,Vail/Summit,>TL,3755.8,-9.8,-9.8,-16.8,-17.0,56.0,26.4,254.6,39.4,0.0,0.0,0.0,0.0,0.0,22.46,9.91,no,3
24,648,24,2018-01-25,Vail/Summit,>TL,3755.8,-5.2,-5.2,-10.0,-23.0,24.8,38.0,259.8,61.0,0.0,0.0,0.0,0.06,0.0,22.16,10.16,no,4
25,674,24,2018-01-26,Vail/Summit,>TL,3755.8,-17.8,-3.0,-18.0,-20.4,80.6,24.6,303.2,43.6,0.0,0.0,0.23000000000000004,0.06,0.08,19.2,10.67,no,5
26,700,24,2018-01-27,Vail/Summit,>TL,3743.166666666666,-13.666666666666664,-13.666666666666664,-19.0,-21.33333333333333,58.16666666666666,33.5,252.0,53.5,0.0,0.0,0.0,0.0,0.0,20.0,10.67,no,6
27,726,24,2018-01-28,Vail/Summit,>TL,3743.166666666666,-10.666666666666666,-10.666666666666666,-14.666666666666664,-12.833333333333336,84.0,39.333333333333336,306.0,65.16666666666667,0.0,0.0,0.0,0.0,0.0,19.95,10.67,no,7
28,752,24,2018-01-29,Vail/Summit,>TL,3743.166666666666,-6.833333333333332,-6.833333333333332,-11.166666666666664,-12.833333333333336,65.66666666666667,27.5,223.83333333333331,46.33333333333334,0.0,0.0,0.0,0.0,0.0,15.45,0.0,no,8
29,778,24,2018-01-30,Vail/Summit,>TL,3743.166666666666,-3.333333333333333,-3.1666666666666665,-7.833333333333332,-17.5,33.5,40.833333333333336,274.5,66.83333333333333,0.0,0.0,0.0,0.0,0.0,24.816666666666674,10.67,no,9
30,805,25,2018-01-31,Vail/Summit,>TL,3743.166666666666,-4.666666666666667,-1.3333333333333333,-5.5,-13.333333333333336,52.16666666666666,57.0,268.6666666666667,95.16666666666669,0.0,0.0,0.0,0.0,0.0,15.066666666666668,10.92,no,10
