,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations,aspectMode
0,0,4,4,2017-12-01,Front Range,>TL,3682.0,-3.333333333333333,-1.3333333333333333,-5.0,-9.0,64.66666666666667,49.33333333333334,272.3333333333333,87.66666666666669,,,,,,,,no,11,0,
1,1,30,4,2017-12-02,Front Range,>TL,3682.0,-3.333333333333333,-2.6666666666666665,-6.333333333333332,-9.333333333333334,63.0,29.0,285.3333333333333,52.0,,,,,,,,no,12,0,
2,2,56,4,2017-12-03,Front Range,>TL,3682.0,-1.6666666666666667,-0.3333333333333333,-5.0,-11.666666666666664,47.66666666666666,45.33333333333334,245.0,78.66666666666667,,,,,,,,no,13,0,
3,3,82,4,2017-12-04,Front Range,>TL,3682.0,-16.666666666666668,0.3333333333333333,-19.33333333333333,-20.33333333333333,74.66666666666667,39.66666666666666,300.3333333333333,60.33333333333334,,,,,,,,no,14,0,
4,4,108,4,2017-12-05,Front Range,>TL,3682.0,-14.666666666666664,-14.666666666666664,-20.33333333333333,-21.0,62.33333333333334,33.0,216.0,48.0,,,,,,,,no,15,0,
5,5,134,4,2017-12-06,Front Range,>TL,3682.0,-18.0,-13.0,-18.0,-21.66666666666667,74.33333333333333,19.0,218.0,39.333333333333336,,,,,,,,no,16,0,
6,6,160,4,2017-12-07,Front Range,>TL,3682.0,-18.33333333333333,-17.666666666666668,-21.33333333333333,-21.66666666666667,77.33333333333333,19.666666666666668,114.0,40.0,,,,,,,,no,17,0,
7,7,186,4,2017-12-08,Front Range,>TL,3682.0,-11.666666666666664,-11.666666666666664,-18.666666666666668,-16.333333333333332,68.0,29.0,335.0,51.66666666666666,,,,,,,,no,18,0,
8,8,212,4,2017-12-09,Front Range,>TL,3682.0,-7.333333333333332,-7.0,-11.666666666666664,-19.666666666666668,40.0,32.666666666666664,316.3333333333333,49.0,,,,,,,,no,19,0,
9,9,238,4,2017-12-10,Front Range,>TL,3682.0,-5.666666666666668,-5.666666666666668,-9.666666666666666,-21.66666666666667,33.333333333333336,16.666666666666668,195.0,33.0,,,,,,,,no,20,0,
10,10,264,4,2017-12-11,Front Range,>TL,3682.0,-4.666666666666667,-4.666666666666667,-7.333333333333332,-16.666666666666668,41.333333333333336,37.66666666666666,305.6666666666667,56.33333333333334,,,,,,,,no,21,0,
11,11,290,4,2017-12-12,Front Range,>TL,3682.0,-3.333333333333333,-3.333333333333333,-6.666666666666668,-12.0,52.33333333333334,25.33333333333333,210.3333333333333,38.66666666666666,,,,,,,,no,22,0,
12,12,316,4,2017-12-13,Front Range,>TL,3682.0,-5.666666666666668,-2.0,-6.333333333333332,-19.0,37.66666666666666,20.666666666666668,182.66666666666663,32.0,,,,,,,,no,23,0,
13,13,342,4,2017-12-14,Front Range,>TL,3682.0,-14.0,-4.333333333333333,-14.0,-16.666666666666668,80.33333333333333,33.333333333333336,330.6666666666667,49.66666666666666,,,,,,,,no,24,0,
14,14,368,4,2017-12-15,Front Range,>TL,3682.0,-8.0,-8.0,-16.333333333333332,-21.33333333333333,36.66666666666666,30.66666666666667,319.3333333333333,48.33333333333334,,,,,,,,no,25,2,E
15,15,394,4,2017-12-16,Front Range,>TL,3682.0,-5.0,-2.6666666666666665,-8.0,-17.0,41.0,25.33333333333333,127.0,39.66666666666666,,,,,,,,no,26,0,
16,16,420,4,2017-12-17,Front Range,>TL,3682.0,-9.333333333333334,-3.0,-10.666666666666666,-18.666666666666668,48.33333333333334,30.33333333333333,277.6666666666667,42.66666666666666,,,,,,,,no,27,0,
17,17,446,4,2017-12-18,Front Range,>TL,3682.0,-8.666666666666666,-7.333333333333332,-12.666666666666664,-13.333333333333336,72.0,31.0,216.0,45.0,,,,,,,,no,28,0,
18,18,472,4,2017-12-19,Front Range,>TL,3682.0,-7.333333333333332,-7.0,-10.333333333333334,-12.333333333333336,68.0,20.666666666666668,205.0,32.0,,,,,,,,no,29,0,
19,19,498,4,2017-12-20,Front Range,>TL,3682.0,-2.6666666666666665,-2.6666666666666665,-8.333333333333334,-15.0,40.66666666666666,49.33333333333334,265.6666666666667,87.33333333333331,,,,,,,,no,30,1,SE
20,20,524,4,2017-12-21,Front Range,>TL,3682.0,-10.666666666666666,-2.333333333333333,-14.333333333333336,-13.333333333333336,81.66666666666667,11.333333333333336,195.3333333333333,21.66666666666667,,,,,,,,no,31,0,
