,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,7,7,2017-12-01,Grand Mesa,TL,3100.8,3.2,3.8,-1.8,-6.0,59.0,9.0,211.0,23.0,0.0,0.0,0.0,0.0,0.0,6.1,1.472,no,11,0
1,1,33,7,2017-12-02,Grand Mesa,TL,3100.8,2.6,4.2,-1.8,-6.0,63.0,12.0,192.0,21.0,0.0,0.0,0.05,0.0,0.0,97.04,1.624,no,12,0
2,2,59,7,2017-12-03,Grand Mesa,TL,3100.8,1.4,4.4,-0.2,-5.0,75.0,20.0,198.0,45.0,0.0,0.0,0.0,0.0,0.0,7.0,1.42,no,13,0
3,3,85,7,2017-12-04,Grand Mesa,TL,3100.8,-8.6,2.2,-13.4,-18.0,55.0,3.0,9.0,9.0,0.0,0.0,0.05,0.0,0.41,5.9,2.2359999999999998,no,14,0
4,4,111,7,2017-12-05,Grand Mesa,TL,3100.8,-6.0,-5.6,-16.4,-21.0,37.0,2.0,40.0,9.0,0.0,0.0,0.304,0.0,0.0,6.6,2.74,no,15,0
5,5,137,7,2017-12-06,Grand Mesa,TL,3100.8,-6.0,-2.4,-13.4,-23.0,31.0,4.0,61.0,21.0,0.0,0.0,0.0,0.0,0.0,7.38,1.828,no,16,0
6,6,163,7,2017-12-07,Grand Mesa,TL,3100.8,-11.4,-6.0,-16.8,-18.0,74.0,3.0,29.0,12.0,0.0,0.0,0.202,0.0,0.0,8.18,3.048,no,17,0
7,7,189,7,2017-12-08,Grand Mesa,TL,3100.8,-1.4,-1.4,-11.6,-17.0,37.0,5.0,31.0,16.0,0.0,0.0,0.458,0.0,0.18,7.38,1.78,no,18,0
8,8,215,7,2017-12-09,Grand Mesa,TL,3100.8,3.2,3.2,-9.0,-24.0,13.0,1.0,51.0,5.0,0.0,0.0,0.05,0.0,0.0,5.5200000000000005,2.084,no,19,0
9,9,241,7,2017-12-10,Grand Mesa,TL,3100.8,2.0,3.8,-9.2,-28.0,10.0,2.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,6.9,2.136,no,20,0
10,10,267,7,2017-12-11,Grand Mesa,TL,3100.8,5.0,5.0,-6.6,-21.0,15.0,1.0,48.0,6.0,0.0,0.0,0.05,0.0,0.0,6.6,2.1339999999999995,no,21,0
