,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,6,6,2017-12-01,Grand Mesa,<TL,2033.0,10.333333333333334,13.666666666666664,2.333333333333333,-3.333333333333333,37.66666666666666,8.333333333333334,177.33333333333337,14.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.25,no,11,0
1,1,32,6,2017-12-02,Grand Mesa,<TL,2033.0,12.666666666666664,13.0,3.0,-1.3333333333333333,39.66666666666666,12.666666666666664,184.0,20.666666666666668,0.0,0.0,0.0,0.0,0.0,2.5,0.25,no,12,0
2,2,58,6,2017-12-03,Grand Mesa,<TL,2033.0,10.666666666666666,14.666666666666664,4.0,-2.333333333333333,41.333333333333336,22.66666666666667,232.66666666666663,31.33333333333333,0.0,0.0,0.0,0.0,0.0,2.5,0.25,no,13,0
3,3,84,6,2017-12-04,Grand Mesa,<TL,2033.0,-0.6666666666666666,12.0,-7.333333333333332,-13.666666666666664,42.0,4.333333333333333,230.66666666666663,13.666666666666664,0.0,0.0,0.0,0.0,0.41,0.0,4.32,no,14,0
4,4,110,6,2017-12-05,Grand Mesa,<TL,2199.0,-1.5,0.5,-10.5,-14.0,39.5,7.0,102.5,14.5,0.0,0.0,0.76,0.0,0.0,0.0,5.33,no,15,0
5,5,136,6,2017-12-06,Grand Mesa,<TL,2199.0,-3.5,2.0,-7.5,-13.5,46.5,20.5,288.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,16,0
6,6,162,6,2017-12-07,Grand Mesa,<TL,2199.0,-5.0,-1.5,-11.5,-15.5,45.0,17.0,135.0,21.5,0.0,0.0,0.38,0.0,0.0,2.5,6.1,no,17,0
7,7,188,6,2017-12-08,Grand Mesa,<TL,2284.0,1.3333333333333333,1.3333333333333333,-8.666666666666666,-10.666666666666666,41.333333333333336,9.666666666666666,316.0,24.0,0.0,0.0,0.8466666666666667,0.0,0.18000000000000002,0.0,0.0,no,18,0
8,8,214,6,2017-12-09,Grand Mesa,<TL,2284.0,3.6666666666666665,5.333333333333333,-5.333333333333333,-12.333333333333336,30.0,4.666666666666667,157.33333333333334,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,19,0
9,9,240,6,2017-12-10,Grand Mesa,<TL,2284.0,5.666666666666668,8.666666666666666,-4.333333333333333,-16.0,19.33333333333333,6.333333333333332,114.66666666666669,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,20,0
10,10,266,6,2017-12-11,Grand Mesa,<TL,2284.0,6.666666666666668,8.666666666666666,-4.666666666666667,-15.0,19.666666666666668,4.333333333333333,261.6666666666667,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,no,21,0
11,11,292,6,2017-12-12,Grand Mesa,<TL,2284.0,8.0,12.0,-0.3333333333333333,-10.333333333333334,26.33333333333333,6.333333333333332,256.6666666666667,16.0,0.0,0.0,0.16666666666666666,0.0,0.0,10.2,0.25,no,22,0
12,12,318,6,2017-12-13,Grand Mesa,<TL,2284.0,5.333333333333333,12.333333333333336,-2.0,-10.666666666666666,30.33333333333333,3.333333333333333,251.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,23,0
13,13,344,6,2017-12-14,Grand Mesa,<TL,2284.0,-1.6666666666666667,7.0,-5.0,-5.0,78.33333333333333,17.0,214.66666666666663,40.0,0.0,0.0,0.16666666666666666,1.0,0.33,2.5,0.0,yes,0,0
14,14,370,6,2017-12-15,Grand Mesa,<TL,2284.0,1.6666666666666667,2.333333333333333,-8.333333333333334,-12.333333333333336,35.0,10.0,215.3333333333333,27.66666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,no,1,0
15,15,396,6,2017-12-16,Grand Mesa,<TL,2284.0,2.0,5.333333333333333,-5.0,-15.333333333333336,27.0,8.333333333333334,102.0,20.666666666666668,0.0,0.0,0.34,0.0,0.0,2.5,0.0,no,2,0
16,16,422,6,2017-12-17,Grand Mesa,<TL,2199.0,1.0,5.0,-5.5,-11.0,41.0,6.0,165.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,3,0
