,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,1595,9,2018-01-31,Gunnison,>TL,3658.0,-40.0,-18.0,-40.0,-84.0,0.0,35.0,250.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,no,11,0
1,1,1622,9,2018-02-01,Gunnison,>TL,3658.0,-8.0,-5.0,-40.0,-11.0,77.0,35.0,245.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,no,12,0
2,2,1649,9,2018-02-02,Gunnison,>TL,3658.0,-4.0,-4.0,-8.0,-7.0,80.0,44.0,242.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,no,13,0
3,3,1676,9,2018-02-03,Gunnison,>TL,3658.0,-8.0,-4.0,-8.0,-9.0,91.0,25.0,273.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,14,0
4,4,1703,9,2018-02-04,Gunnison,>TL,3658.0,-6.0,-6.0,-8.0,-10.0,75.0,35.0,248.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,15,1
5,5,1730,9,2018-02-05,Gunnison,>TL,3658.0,-8.0,-5.0,-8.0,-9.0,91.0,36.0,241.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,16,0
6,6,1757,9,2018-02-06,Gunnison,>TL,3658.0,-11.0,-8.0,-11.0,-13.0,84.0,24.0,250.0,59.0,0.03,0.05,0.25,9.4,0.46,5.1,1.27,yes,0,0
7,7,1784,9,2018-02-07,Gunnison,>TL,3658.0,-8.0,-8.0,-14.0,-16.0,57.0,30.0,301.0,73.0,0.0,0.0,0.25,0.0,0.0,0.0,1.78,no,1,5
8,8,1811,9,2018-02-08,Gunnison,>TL,3658.0,-5.0,-5.0,-10.0,-11.0,65.0,15.0,234.0,38.0,0.0,0.0,0.25,0.0,0.0,0.0,2.03,no,2,0
9,9,1838,9,2018-02-09,Gunnison,>TL,3658.0,-6.0,-5.0,-7.0,-11.0,68.0,28.0,229.0,68.0,0.0,0.0,0.25,0.0,0.0,0.0,2.03,no,3,0
10,10,1865,9,2018-02-10,Gunnison,>TL,3658.0,-9.0,-5.0,-9.0,-11.0,88.0,35.0,247.0,66.0,0.05,0.0,0.0,0.0,0.0,0.0,1.78,no,4,0
11,11,1892,9,2018-02-11,Gunnison,>TL,3658.0,-12.0,-9.0,-19.0,-22.0,46.0,8.0,205.0,21.0,0.0,0.23,0.0,20.8,1.6,14.0,5.84,yes,0,0
12,12,1919,9,2018-02-12,Gunnison,>TL,3658.0,-11.0,-11.0,-14.0,-13.0,89.0,18.0,196.0,24.0,0.0,0.0,0.0,0.0,0.0,5.8,5.84,no,1,0
13,13,1946,9,2018-02-13,Gunnison,>TL,3658.0,-9.0,-8.0,-11.0,-10.0,91.0,29.0,238.0,53.0,0.0,0.03,0.51,0.0,0.0,1.3,3.3,no,2,2
14,14,1973,9,2018-02-14,Gunnison,>TL,3658.0,-8.0,-8.0,-9.0,-11.0,77.0,60.0,225.0,91.0,0.0,0.0,0.0,0.0,0.05,0.0,3.3,no,3,1
15,15,2000,9,2018-02-15,Gunnison,>TL,3658.0,-10.0,-7.0,-11.0,-12.0,90.0,35.0,251.0,73.0,0.0,0.0,0.0,0.0,0.1,0.0,2.79,no,4,0
16,16,2027,9,2018-02-16,Gunnison,>TL,3658.0,-12.0,-10.0,-16.0,-14.0,82.0,0.0,250.0,13.0,0.0,0.0,0.0,0.0,0.08,0.0,3.05,no,5,12
17,17,2054,9,2018-02-17,Gunnison,>TL,3658.0,-11.0,-10.0,-14.0,-19.0,51.0,37.0,244.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,no,6,3
18,18,2081,9,2018-02-18,Gunnison,>TL,3658.0,-6.0,-6.0,-11.0,-14.0,54.0,50.0,227.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,no,7,0
19,19,2108,9,2018-02-19,Gunnison,>TL,3658.0,-10.0,-5.0,-10.0,-12.0,85.0,62.0,211.0,93.0,0.0,0.0,0.0,0.0,0.0,7.6,2.79,no,8,0
20,20,2135,9,2018-02-20,Gunnison,>TL,3658.0,-21.0,-9.0,-21.0,-23.0,81.0,38.0,228.0,62.0,0.0,0.1,0.0,1.8,0.23,3.8,2.79,yes,0,1
21,21,2162,9,2018-02-21,Gunnison,>TL,3658.0,-15.0,-15.0,-22.0,-17.0,85.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,2.5,2.54,no,1,0
22,22,2189,9,2018-02-22,Gunnison,>TL,3658.0,-15.0,-12.0,-16.0,-17.0,85.0,34.0,234.0,63.0,0.0,0.64,0.51,8.9,0.66,3.8,3.3,yes,0,0
23,23,2216,9,2018-02-23,Gunnison,>TL,3658.0,-15.0,-15.0,-18.0,-17.0,85.0,19.0,203.0,30.0,0.0,0.13,0.25,1.3,0.03,0.0,0.48,yes,0,4
24,24,2243,9,2018-02-24,Gunnison,>TL,3658.0,-21.0,-14.0,-21.0,-23.0,80.0,32.0,236.0,75.0,0.0,0.0,0.0,0.0,0.46,0.0,3.3,no,1,0
25,25,2270,9,2018-02-25,Gunnison,>TL,3658.0,-19.0,-19.0,-21.0,-22.0,82.0,36.0,247.0,71.0,0.0,0.0,0.0,0.0,0.43,0.0,3.3,no,2,2
26,26,2297,9,2018-02-26,Gunnison,>TL,3658.0,-10.0,-10.0,-19.0,-22.0,40.0,32.0,217.0,51.0,0.0,0.0,0.25,0.0,0.18,0.0,3.56,no,3,3
27,27,2324,9,2018-02-27,Gunnison,>TL,3658.0,-9.0,-7.0,-11.0,-22.0,33.0,24.0,234.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,no,4,5
28,28,2351,9,2018-02-28,Gunnison,>TL,3658.0,-11.0,-7.0,-13.0,-16.0,70.0,19.0,250.0,29.0,0.0,0.0,0.25,0.0,0.0,0.0,3.56,no,5,0
29,29,2378,9,2018-03-01,Gunnison,>TL,3658.0,-9.0,-9.0,-12.0,-18.0,49.0,20.0,212.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,no,6,0
30,30,2405,9,2018-03-02,Gunnison,>TL,3658.0,-5.0,-5.0,-10.0,-14.0,50.0,28.0,217.0,50.0,0.0,0.0,0.25,0.0,0.0,0.0,3.56,no,7,1
31,31,2432,9,2018-03-03,Gunnison,>TL,3658.0,-3.0,-3.0,-8.0,-18.0,31.0,11.0,189.0,28.0,0.0,0.0,0.25,0.0,0.03,0.0,3.05,no,8,0
32,32,2459,9,2018-03-04,Gunnison,>TL,3658.0,-8.0,-1.0,-9.0,-18.0,43.0,29.0,232.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,no,9,0
33,33,2486,9,2018-03-05,Gunnison,>TL,3658.0,-17.0,-8.0,-21.0,-20.0,77.0,8.0,210.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,10,0
34,34,2513,9,2018-03-06,Gunnison,>TL,3658.0,-13.0,-13.0,-18.0,-26.0,31.0,11.0,310.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,no,11,0
35,35,2540,9,2018-03-07,Gunnison,>TL,3658.0,-7.0,-7.0,-13.0,-33.0,11.0,21.0,248.0,40.0,0.0,0.0,0.25,0.0,0.0,0.0,0.76,no,12,0
