,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,11,11,2018-01-01,North San Juan,>TL,3720.7,-4.3,-2.7,-7.6,-33.2,10.2,14.5,297.8,26.0,0.0,0.0,0.051,0.2,0.0,10.62,4.214999999999999,no,11,0
1,1,37,11,2018-01-02,North San Juan,>TL,3720.7,-7.5,-2.9,-11.6,-31.0,17.6,19.6,107.9,35.9,0.0,0.0,0.0,0.0,0.0,10.32,4.014999999999999,no,12,0
2,2,63,11,2018-01-03,North San Juan,>TL,3720.7,-0.4,-0.4,-8.6,-28.4,11.5,8.4,210.4,16.0,0.0,0.0,0.025,0.12,0.0,10.06,4.189,no,13,0
3,3,89,11,2018-01-04,North San Juan,>TL,3720.7,-1.5,0.9,-5.6,-38.4,5.5,9.1,199.4,14.0,0.0,0.0,0.05,0.12,0.0,10.31,3.9899999999999993,no,14,0
4,4,115,11,2018-01-05,North San Juan,>TL,3709.111111111111,-1.4444444444444444,0.1111111111111111,-5.666666666666668,-14.0,42.77777777777778,14.111111111111107,291.0,31.0,0.0,0.0,0.05666666666666668,0.13333333333333333,0.0,11.177777777777774,4.094444444444443,no,15,0
5,5,141,11,2018-01-06,North San Juan,>TL,3720.7,-3.8,-0.6,-5.4,-8.0,80.9,16.6,228.2,36.6,0.0,0.0,0.0,0.12,0.0,10.35,3.9899999999999993,no,16,0
6,6,167,11,2018-01-07,North San Juan,>TL,3720.7,-7.2,-2.7,-10.4,-11.7,80.0,13.8,137.0,25.0,0.0,0.0,0.076,0.0,0.0,13.2,4.090999999999998,no,17,0
7,7,193,11,2018-01-08,North San Juan,>TL,3720.7,3.2,3.3,-7.8,-15.4,26.6,14.2,188.5,26.3,0.0,0.0,0.05,0.12,0.0,13.47,1.7270000000000003,no,18,1
8,8,219,11,2018-01-09,North San Juan,>TL,3720.7,-2.0,4.2,-4.1,-7.1,72.6,24.4,198.3,48.4,0.0,0.0,0.0,0.12,0.0,14.03,4.167,no,19,0
9,9,245,11,2018-01-10,North San Juan,>TL,3720.7,-5.4,-1.1,-6.4,-8.6,83.1,20.3,197.7,38.2,0.0,0.0,0.05,0.12,0.0,17.630000000000006,4.371,no,20,4
