,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,10,10,2017-12-01,North San Juan,<TL,2666.578947368421,5.63157894736842,8.526315789473685,-2.7894736842105257,-4.684210526315789,48.05263157894736,5.368421052631579,165.89473684210526,11.63157894736842,0.0,0.004736842105263157,0.0,0.015789473684210527,,1.9421052631578943,1.014736842105263,no,11,0
1,1,36,10,2017-12-02,North San Juan,<TL,2666.578947368421,6.526315789473684,9.368421052631579,-4.0,-5.052631578947368,43.631578947368425,4.0,208.0,10.842105263157897,0.0,0.0,0.02631578947368421,0.015789473684210527,,1.921052631578948,1.5747368421052632,no,12,0
2,2,62,10,2017-12-03,North San Juan,<TL,2666.578947368421,5.2631578947368425,10.105263157894736,-2.5789473684210527,-4.421052631578949,54.78947368421053,9.947368421052632,170.78947368421052,22.105263157894736,0.0,0.0,0.053157894736842105,0.05263157894736842,0.0,1.973684210526316,1.18,no,13,0
3,3,88,10,2017-12-04,North San Juan,<TL,2660.8888888888887,-4.166666666666667,8.38888888888889,-10.666666666666666,-21.444444444444443,28.11111111111111,6.0555555555555545,115.88888888888887,14.833333333333336,0.0,0.016666666666666666,0.04722222222222223,0.2833333333333333,0.02,1.4944444444444445,1.5777777777777775,no,14,0
4,4,114,10,2017-12-05,North San Juan,<TL,2666.578947368421,-3.3684210526315788,-1.5263157894736843,-15.0,-21.0,28.73684210526316,4.2631578947368425,207.73684210526315,10.052631578947368,0.0,0.00631578947368421,0.00631578947368421,0.12105263157894736,,1.9526315789473685,1.0421052631578949,no,15,0
5,5,140,10,2017-12-06,North San Juan,<TL,2666.578947368421,-0.7894736842105263,1.7368421052631582,-12.105263157894735,-17.736842105263158,30.105263157894736,7.7894736842105265,209.10526315789474,14.947368421052632,0.0,0.0,0.02947368421052632,0.12105263157894736,,1.631578947368421,1.233684210526316,no,16,0
6,6,166,10,2017-12-07,North San Juan,<TL,2666.578947368421,-6.63157894736842,0.9473684210526316,-17.789473684210527,-20.05263157894737,37.631578947368425,9.263157894736842,154.21052631578948,24.52631578947368,0.0,0.0,0.013157894736842105,0.0,0.0,1.1473684210526316,1.0421052631578949,no,17,0
7,7,192,10,2017-12-08,North San Juan,<TL,2674.444444444445,2.4444444444444446,2.5,-10.111111111111107,-13.777777777777779,33.05555555555556,9.888888888888893,141.5,23.722222222222207,0.0,0.0,0.12611111111111112,0.027777777777777776,0.03,5.161111111111111,1.8072222222222225,no,18,0
8,8,218,10,2017-12-09,North San Juan,<TL,2689.277777777778,1.2222222222222223,5.6111111111111125,-12.0,-19.166666666666668,20.33333333333333,2.6666666666666665,184.11111111111111,5.666666666666668,0.0,0.0,0.19777777777777766,0.0,0.0,1.9833333333333327,1.2872222222222225,no,19,0
9,9,244,10,2017-12-10,North San Juan,<TL,2689.277777777778,1.7222222222222223,7.6111111111111125,-12.666666666666664,-22.16666666666667,17.055555555555557,2.5555555555555562,157.77777777777774,6.3888888888888875,0.0,0.0,0.0066666666666666645,0.0,0.0,1.7388888888888892,1.2872222222222225,no,20,0
10,10,270,10,2017-12-11,North San Juan,<TL,2689.277777777778,3.0555555555555562,7.5,-10.722222222222221,-17.38888888888889,21.777777777777786,3.0555555555555562,155.22222222222226,7.0555555555555545,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,1.4111111111111108,1.4261111111111109,no,21,0
11,11,296,10,2017-12-12,North San Juan,<TL,2689.277777777778,3.8333333333333335,10.666666666666666,-9.166666666666666,-14.777777777777779,25.33333333333333,3.0555555555555562,172.72222222222226,5.777777777777778,0.0,0.0,0.0066666666666666645,0.1388888888888889,,1.9944444444444445,1.4677777777777778,no,22,0
12,12,322,10,2017-12-13,North San Juan,<TL,2689.277777777778,3.5,9.888888888888893,-8.0,-16.166666666666668,21.722222222222207,4.055555555555555,234.3333333333333,8.222222222222221,0.0,0.0,0.06333333333333334,0.1388888888888889,0.0,2.4055555555555563,1.0577777777777777,no,23,0
13,13,348,10,2017-12-14,North San Juan,<TL,2689.277777777778,-0.7777777777777778,8.5,-4.055555555555555,-6.6111111111111125,71.05555555555556,6.833333333333332,161.94444444444446,14.5,0.0,0.03722222222222222,0.105,1.9333333333333331,0.28,2.2,1.606666666666667,yes,0,0
14,14,374,10,2017-12-15,North San Juan,<TL,2689.277777777778,0.05555555555555555,2.1666666666666665,-12.944444444444445,-17.055555555555557,28.777777777777786,2.9444444444444446,208.11111111111111,4.9444444444444455,0.0,0.05,0.14166666666666666,1.6,0.0,2.3944444444444444,1.099444444444445,yes,0,0
15,15,400,10,2017-12-16,North San Juan,<TL,2689.277777777778,-0.3333333333333333,6.833333333333332,-9.722222222222221,-13.0,44.22222222222222,3.2777777777777777,268.0555555555556,4.5555555555555545,0.0,0.0,0.06555555555555556,0.0,0.0,2.3944444444444444,1.099444444444445,no,1,0
16,16,426,10,2017-12-17,North San Juan,<TL,2689.277777777778,0.6111111111111112,4.2777777777777795,-10.222222222222221,-16.444444444444443,28.66666666666667,3.611111111111111,180.94444444444446,10.5,0.0,0.0,0.04166666666666667,0.016666666666666666,0.0,1.4388888888888889,1.2872222222222225,no,2,0
17,17,452,10,2017-12-18,North San Juan,<TL,2689.277777777778,-0.6666666666666666,4.2222222222222205,-12.888888888888893,-17.22222222222222,29.66666666666667,3.5555555555555562,214.88888888888889,4.888888888888889,0.0,0.0,0.12722222222222224,0.0,0.0,1.3833333333333333,1.099444444444445,no,3,0
18,18,478,10,2017-12-19,North San Juan,<TL,2673.7647058823527,1.8235294117647056,5.235294117647058,-10.411764705882351,-10.058823529411764,43.58823529411765,2.7058823529411766,159.52941176470586,5.588235294117646,0.0,0.0,0.07470588235294118,0.0,0.0,1.8588235294117648,1.3747058823529412,no,4,0
19,19,504,10,2017-12-20,North San Juan,<TL,2673.7647058823527,3.8235294117647056,7.529411764705883,-9.882352941176473,-14.0,29.058823529411764,7.411764705882352,185.82352941176467,16.588235294117652,0.0,0.0,0.029411764705882363,0.0,0.0,2.594117647058824,1.3747058823529412,no,5,0
20,20,530,10,2017-12-21,North San Juan,<TL,2673.7647058823527,-2.8235294117647056,6.411764705882352,-4.823529411764706,-7.588235294117648,73.76470588235293,7.588235294117648,192.4705882352941,20.11764705882353,0.0,0.05,0.10411764705882354,6.452941176470588,0.13,7.158823529411764,1.5388235294117647,yes,0,0
21,21,556,10,2017-12-22,North San Juan,<TL,2673.7647058823527,-5.529411764705882,-2.2941176470588243,-16.88235294117647,-13.294117647058822,62.17647058823529,6.294117647058822,223.64705882352942,13.470588235294118,0.0,0.028235294117647056,0.5694117647058823,4.441176470588236,0.36,14.205882352941178,1.1794117647058824,yes,0,0
22,22,582,10,2017-12-23,North San Juan,<TL,2689.277777777778,1.5555555555555556,1.7777777777777777,-9.555555555555557,-8.888888888888891,48.16666666666666,6.277777777777778,167.94444444444446,19.0,0.005,0.011666666666666664,0.10833333333333334,0.0,0.0,5.972222222222222,1.6944444444444442,no,1,0
23,23,608,10,2017-12-24,North San Juan,<TL,2689.277777777778,-1.9444444444444444,2.5,-12.111111111111107,-18.72222222222221,30.66666666666667,3.611111111111111,112.44444444444444,10.055555555555557,0.0,0.025,0.04222222222222223,0.2,0.20000000000000004,3.7944444444444434,1.5138888888888886,no,2,0
