,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,16,16,2017-12-01,Sawatch,>TL,3603.0,-1.8,0.6,-4.2,-7.6,68.2,31.4,273.0,49.6,0.0,0.0,0.0,0.0,0.0,21.04,0.758,no,11,0
1,1,42,16,2017-12-02,Sawatch,>TL,3603.0,-1.6,0.0,-4.2,-7.0,71.0,28.2,269.6,44.8,0.0,0.0,0.0,0.0,0.0,22.32,0.758,no,12,0
2,2,68,16,2017-12-03,Sawatch,>TL,3603.0,-1.4,1.2,-4.6,-9.4,58.6,31.0,240.2,45.2,0.0,0.0,0.05,0.0,0.0,22.24,0.758,no,13,0
3,3,94,16,2017-12-04,Sawatch,>TL,3603.0,-14.6,0.4,-17.2,-18.8,73.6,16.2,270.2,29.0,0.0,0.0,0.0,0.0,0.41,20.84,3.964,no,14,1
4,4,120,16,2017-12-05,Sawatch,>TL,3603.0,-11.2,-10.4,-18.0,-19.8,54.8,11.8,167.2,19.2,0.0,0.0,0.0,0.0,0.0,20.4,4.772,no,15,0
5,5,146,16,2017-12-06,Sawatch,>TL,3603.0,-10.8,-7.4,-14.0,-20.0,53.8,9.0,127.2,19.0,0.0,0.0,0.0,0.0,0.0,20.2,0.508,no,16,0
6,6,172,16,2017-12-07,Sawatch,>TL,3603.0,-16.6,-10.0,-20.2,-20.6,75.4,16.6,185.8,27.0,0.0,0.0,0.0,0.0,0.0,22.04,5.337999999999999,no,17,0
7,7,198,16,2017-12-08,Sawatch,>TL,3603.0,-6.8,-6.6,-16.8,-15.2,54.4,16.6,162.2,35.8,0.0,0.0,0.102,0.0,0.18,21.04,0.5579999999999999,no,18,0
8,8,224,16,2017-12-09,Sawatch,>TL,3603.0,-3.8,-2.2,-9.0,-23.4,20.6,17.2,257.0,25.2,0.0,0.0,0.05,0.0,0.0,21.16,0.5579999999999999,no,19,0
9,9,250,16,2017-12-10,Sawatch,>TL,3603.0,-2.4,-1.8,-7.4,-28.8,12.0,12.8,161.0,21.0,0.0,0.0,0.0,0.0,0.0,21.24,0.5579999999999999,no,20,0
