,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,19,19,2017-12-01,South San Juan,>TL,3590.5,-1.5,-1.5,-5.0,-6.0,71.5,21.5,213.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,no,11,0
1,1,45,19,2017-12-02,South San Juan,>TL,3590.5,-2.5,-0.5,-5.0,-3.5,94.0,29.0,203.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,no,12,0
2,2,71,19,2017-12-03,South San Juan,>TL,3590.5,-3.5,-0.5,-4.5,-3.5,99.0,41.5,219.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,2.29,no,13,0
3,3,97,19,2017-12-04,South San Juan,>TL,3590.5,-11.0,-3.5,-13.0,-21.0,43.5,4.5,103.0,39.0,0.0,0.03,0.0,4.3,0.41,3.8,2.29,yes,0,0
4,4,123,19,2017-12-05,South San Juan,>TL,3590.5,-5.5,-5.5,-14.0,-31.5,12.0,4.0,110.5,8.0,0.0,0.0,0.0,0.0,0.0,3.8,2.03,no,1,0
5,5,149,19,2017-12-06,South San Juan,>TL,3590.5,-6.0,-4.5,-9.5,-27.0,17.5,8.0,315.5,23.0,0.0,0.0,0.0,0.0,0.0,2.5,2.03,no,2,0
6,6,175,19,2017-12-07,South San Juan,>TL,3590.5,-14.5,-4.5,-19.0,-27.0,34.0,19.5,194.0,40.0,0.0,0.0,0.0,0.0,0.0,1.3,2.03,no,3,0
7,7,201,19,2017-12-08,South San Juan,>TL,3590.5,-4.5,-4.5,-14.5,-15.5,42.0,29.0,177.5,50.0,0.0,0.0,0.0,2.5,0.18,3.8,2.29,yes,0,0
8,8,227,19,2017-12-09,South San Juan,>TL,3590.5,-0.5,-0.5,-6.5,-27.5,11.5,2.0,173.0,16.0,0.0,0.0,0.0,0.0,0.0,2.5,2.29,no,1,0
9,9,253,19,2017-12-10,South San Juan,>TL,3590.5,0.5,0.5,-4.0,-32.5,6.5,4.0,101.5,13.0,0.0,0.0,0.0,0.0,0.0,2.5,2.03,no,2,0
10,10,279,19,2017-12-11,South San Juan,>TL,3590.5,0.5,2.0,-2.0,-19.0,22.0,12.5,187.0,29.0,0.0,0.0,0.0,0.0,0.0,1.3,2.29,no,3,0
11,11,305,19,2017-12-12,South San Juan,>TL,3590.5,4.0,4.0,-1.0,-18.0,18.5,2.5,91.0,11.0,0.0,0.0,0.0,0.0,0.0,1.3,2.29,no,4,0
12,12,331,19,2017-12-13,South San Juan,>TL,3590.5,0.0,5.0,-2.0,-24.5,14.0,11.5,191.0,26.0,0.0,0.0,0.03,0.0,0.0,1.3,2.54,no,5,0
13,13,357,19,2017-12-14,South San Juan,>TL,3590.5,-9.0,2.5,-10.0,-9.5,96.0,27.0,20.5,48.0,0.0,0.0,0.0,3.0,0.33,3.8,2.79,yes,0,0
14,14,383,19,2017-12-15,South San Juan,>TL,3590.5,-3.0,-3.0,-11.0,-25.5,15.5,10.0,286.0,28.0,0.0,0.0,0.0,0.0,0.0,7.6,2.29,no,1,0
15,15,409,19,2017-12-16,South San Juan,>TL,3590.5,0.5,1.0,-3.5,-16.5,27.5,11.5,212.5,20.0,0.0,0.0,0.0,0.0,0.0,5.1,2.79,no,2,0
16,16,435,19,2017-12-17,South San Juan,>TL,3590.5,-6.5,0.5,-9.5,-21.5,30.5,19.5,210.0,35.0,0.0,0.0,0.0,0.0,0.0,7.6,2.54,no,3,0
17,17,461,19,2017-12-18,South San Juan,>TL,3590.5,-3.0,-3.0,-9.5,-19.0,28.0,11.0,214.0,19.0,0.0,0.0,0.0,0.0,0.0,7.6,2.79,no,4,0
18,18,487,19,2017-12-19,South San Juan,>TL,3590.5,-2.0,-1.0,-7.0,-12.5,43.5,4.0,26.0,27.5,0.0,0.0,0.0,0.0,0.0,7.6,2.54,no,5,0
19,19,513,19,2017-12-20,South San Juan,>TL,3590.5,-6.0,-0.5,-9.0,-14.0,54.0,43.5,210.0,64.0,0.0,0.0,0.03,0.0,0.0,7.6,2.79,no,6,0
20,20,539,19,2017-12-21,South San Juan,>TL,3590.5,-10.5,-5.0,-11.0,-11.5,91.5,42.0,197.5,62.0,0.0,0.0,0.0,0.0,0.13,5.1,2.79,no,7,0
21,21,565,19,2017-12-22,South San Juan,>TL,3590.5,-12.0,-10.5,-17.5,-17.0,67.5,23.5,186.5,46.5,0.0,0.0,0.0,1.3,0.03,10.2,2.54,yes,0,0
22,22,591,19,2017-12-23,South San Juan,>TL,3590.5,-10.5,-8.5,-14.0,-12.5,86.0,27.5,210.0,39.0,0.0,0.0,0.0,4.6,0.33,7.6,3.05,yes,0,0
23,23,617,19,2017-12-24,South San Juan,>TL,3590.5,-10.5,-10.0,-13.0,-17.0,59.0,25.0,224.0,35.0,0.0,0.0,0.0,8.1,0.53,12.7,2.79,yes,0,0
24,24,643,19,2017-12-25,South San Juan,>TL,3590.5,-7.5,-7.0,-10.5,-8.0,97.0,20.5,213.0,36.5,0.0,0.03,0.0,15.2,0.79,20.3,4.57,yes,0,0
25,25,669,19,2017-12-26,South San Juan,>TL,3590.5,-6.5,-5.0,-9.5,-11.0,71.0,32.5,221.5,45.0,0.0,0.0,0.13,7.6,0.43,10.2,4.57,yes,0,0
26,26,695,19,2017-12-27,South San Juan,>TL,3590.5,-5.0,-4.5,-8.0,-15.0,46.0,24.5,218.5,38.0,0.0,0.0,0.0,0.0,0.0,20.3,4.32,no,1,0
27,27,721,19,2017-12-28,South San Juan,>TL,3590.5,-2.0,-2.0,-7.0,-18.0,28.5,8.0,297.0,36.0,0.0,0.0,0.0,0.0,0.0,17.8,4.57,no,2,0
28,28,747,19,2017-12-29,South San Juan,>TL,3590.5,-1.0,0.0,-7.0,-17.5,27.0,16.5,208.0,31.0,0.0,0.0,0.0,0.0,0.0,15.2,4.57,no,3,0
29,29,773,19,2017-12-30,South San Juan,>TL,3590.5,-0.5,1.0,-6.0,-20.0,21.0,21.5,216.0,36.0,0.0,0.0,0.0,0.0,0.0,15.2,4.57,no,4,0
30,30,799,19,2017-12-31,South San Juan,>TL,3590.5,-3.5,0.0,-6.0,-18.5,29.5,21.5,212.5,37.5,0.0,0.0,0.0,0.0,0.0,2.5,4.32,no,5,0
31,31,825,19,2018-01-01,South San Juan,>TL,3590.5,-2.5,-2.5,-7.0,-23.0,19.0,11.0,204.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,no,6,0
