,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,22,22,2017-12-01,Steamboat,TL,3219.75,-1.75,1.75,-3.25,-5.75,87.75,2.25,197.25,6.75,0.0,0.0,0.25,0.0,0.0,40.65,13.4625,no,11,0
1,1,48,22,2017-12-02,Steamboat,TL,3219.75,0.5,0.5,-3.25,-6.25,60.5,2.25,188.25,7.0,0.0,0.0,0.0625,0.0,0.0,40.65,13.592499999999998,no,12,0
2,2,74,22,2017-12-03,Steamboat,TL,3219.75,1.75,2.75,-1.25,-8.25,52.5,18.75,154.5,35.0,0.0,0.0,0.0625,0.0,0.0,40.65,13.592499999999998,no,13,0
3,3,100,22,2017-12-04,Steamboat,TL,3219.75,-11.25,2.25,-14.5,-14.5,81.0,6.0,261.75,19.25,0.0,0.0,1.0649999999999995,0.0,0.41,35.575,14.669999999999998,no,14,0
4,4,126,22,2017-12-05,Steamboat,TL,3219.75,-11.75,-10.75,-17.25,-14.25,84.25,2.25,162.75,3.75,0.0,0.0,0.315,0.0,0.0,55.25,14.9225,no,15,0
5,5,152,22,2017-12-06,Steamboat,TL,3219.75,-13.0,-7.0,-16.5,-16.0,80.75,2.25,234.75,2.75,0.0,0.0,0.125,0.0,0.0,53.35,14.987499999999995,no,16,0
6,6,178,22,2017-12-07,Steamboat,TL,3219.75,-13.0,-11.75,-18.5,-16.25,83.25,4.5,306.5,4.75,0.0,0.0,0.19,0.0,0.0,38.125,14.924999999999995,no,17,0
7,7,204,22,2017-12-08,Steamboat,TL,3219.75,-6.0,-6.0,-13.5,-11.0,86.25,16.25,294.75,21.0,0.0,0.0,0.5725,0.0,0.0,52.05,15.364999999999998,no,18,0
8,8,230,22,2017-12-09,Steamboat,TL,3219.75,-3.75,-2.5,-9.25,-15.75,48.25,3.75,180.75,19.25,0.0,0.0,0.1875,0.0,0.0,51.40000000000001,15.237499999999995,no,19,0
9,9,256,22,2017-12-10,Steamboat,TL,3219.75,-2.75,-2.0,-7.25,-20.5,29.25,2.25,187.5,2.75,0.0,0.0,0.0625,0.0,0.0,48.875,15.302499999999998,no,20,0
10,10,282,22,2017-12-11,Steamboat,TL,3219.75,-0.75,0.25,-4.25,-22.25,23.75,2.25,224.25,3.5,0.0,0.0,0.3175,0.0,0.0,49.52500000000001,15.302499999999998,no,21,0
11,11,308,22,2017-12-12,Steamboat,TL,3219.75,0.75,1.25,-3.75,-16.75,31.25,2.25,171.0,3.75,0.0,0.0,0.125,0.0,0.0,47.625,15.4325,no,22,0
12,12,334,22,2017-12-13,Steamboat,TL,3219.75,-1.0,2.5,-4.0,-18.25,35.25,2.25,218.25,3.75,0.0,0.0,0.0,0.0,0.0,48.875,15.302499999999998,no,23,0
13,13,360,22,2017-12-14,Steamboat,TL,3219.75,-9.0,-0.25,-10.5,-10.0,90.0,5.0,4.5,8.25,0.0,0.0,0.0,0.8,0.25,48.90000000000001,15.43,yes,0,0
14,14,386,22,2017-12-15,Steamboat,TL,3219.75,-3.25,-3.25,-12.75,-20.75,31.5,19.5,202.5,25.5,0.0,0.0,0.125,0.0,0.0,52.1,15.43,no,1,0
