,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,25,25,2018-01-01,Vail/Summit,TL,3296.266666666667,-2.1333333333333333,-1.8,-10.8,-19.533333333333328,29.8,9.266666666666667,129.53333333333333,18.466666666666665,0.0,0.0,0.0,0.0,0.0,58.59333333333335,13.918,no,11,0
1,1,51,25,2018-01-02,Vail/Summit,TL,3296.266666666667,-8.666666666666666,-1.4,-14.2,-21.66666666666667,40.2,7.0,197.13333333333333,14.266666666666667,0.0,0.0,0.0,0.0,0.0,53.57333333333333,13.46066666666667,no,12,0
2,2,77,25,2018-01-03,Vail/Summit,TL,3296.266666666667,-0.8,-0.7333333333333333,-11.466666666666667,-20.33333333333333,23.66666666666667,6.0,192.53333333333333,12.866666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,52.06,13.680666666666667,no,13,0
3,3,103,25,2018-01-04,Vail/Summit,TL,3311.5714285714284,-0.42857142857142855,1.5714285714285714,-7.928571428571429,-27.785714285714285,12.785714285714285,3.7857142857142856,125.78571428571428,8.428571428571429,0.0,0.0,0.0,0.0,0.0,59.214285714285715,14.385714285714286,no,14,0
4,4,129,25,2018-01-05,Vail/Summit,TL,3311.5714285714284,-0.2857142857142857,1.5714285714285714,-6.571428571428571,-15.214285714285715,34.714285714285715,9.0,206.35714285714286,18.857142857142858,0.0,0.0,0.03571428571428571,0.0,0.0,89.4357142857143,14.132142857142858,no,15,0
5,5,155,25,2018-01-06,Vail/Summit,TL,3296.266666666667,0.5333333333333333,1.7333333333333334,-5.6,-8.0,60.26666666666666,12.466666666666667,211.13333333333333,25.53333333333333,0.0,0.006666666666666667,0.15,0.05999999999999999,0.0,56.92666666666666,13.814666666666673,no,16,0
6,6,181,25,2018-01-07,Vail/Summit,TL,3296.266666666667,-5.466666666666668,1.2,-6.933333333333334,-9.666666666666666,85.93333333333334,8.733333333333333,200.53333333333333,17.733333333333334,0.0,0.25733333333333336,0.6259999999999999,1.2933333333333337,0.6899999999999997,59.6,15.034,yes,0,2
7,7,207,25,2018-01-08,Vail/Summit,TL,3296.266666666667,2.1333333333333333,2.7333333333333334,-8.666666666666666,-13.733333333333333,32.8,3.533333333333333,168.06666666666666,8.0,0.0,0.008,0.11666666666666667,0.0,0.0,54.54666666666667,14.645333333333333,no,1,0
8,8,233,25,2018-01-09,Vail/Summit,TL,3311.5714285714284,2.7857142857142856,6.142857142857142,-2.5714285714285716,-3.571428571428572,69.85714285714286,5.071428571428571,214.92857142857144,16.5,0.0,0.10571428571428576,0.27071428571428563,0.06428571428571428,0.0,67.60714285714285,15.659285714285712,no,2,0
9,9,259,25,2018-01-10,Vail/Summit,TL,3296.266666666667,-0.7333333333333333,4.2,-3.8,-5.0,82.2,7.133333333333334,229.9333333333333,15.0,0.004,0.006666666666666667,0.0,0.05999999999999999,0.0,59.73333333333333,14.783333333333333,no,3,0
10,10,285,25,2018-01-11,Vail/Summit,TL,3296.266666666667,-11.2,-0.26666666666666666,-12.933333333333335,-16.133333333333333,80.2,11.333333333333336,229.9333333333333,23.93333333333333,0.0,0.19466666666666665,0.21866666666666668,0.4799999999999999,0.0,66.27333333333334,15.375999999999998,no,4,2
11,11,311,25,2018-01-12,Vail/Summit,TL,3296.266666666667,-6.866666666666666,-6.8,-12.866666666666667,-10.866666666666667,87.53333333333332,13.466666666666667,222.8,28.0,0.03933333333333333,0.326,1.1713333333333331,13.026666666666667,0.14999999999999994,99.36000000000004,16.866,yes,0,0
12,12,337,25,2018-01-13,Vail/Summit,TL,3296.266666666667,-5.866666666666666,-5.4,-10.4,-10.466666666666667,83.33333333333333,11.6,176.46666666666667,22.66666666666667,0.0,0.22066666666666668,0.456,0.7933333333333333,0.10000000000000003,69.55333333333334,16.93133333333333,yes,0,4
13,13,363,25,2018-01-14,Vail/Summit,TL,3296.266666666667,-2.6,-2.6,-10.533333333333333,-10.6,62.46666666666667,6.933333333333334,191.0,14.266666666666667,0.0,0.012,0.15,0.0,0.0,65.34666666666668,17.052666666666664,no,1,1
14,14,389,25,2018-01-15,Vail/Summit,TL,3296.266666666667,-5.266666666666667,-0.6666666666666666,-9.466666666666667,-11.533333333333333,69.93333333333334,10.8,239.2,21.86666666666667,0.0,0.064,0.03333333333333333,0.05999999999999999,0.0,64.25333333333334,16.983999999999998,no,2,3
15,15,415,25,2018-01-16,Vail/Summit,TL,3296.266666666667,-5.866666666666666,-4.6,-15.933333333333335,-29.0,19.533333333333328,4.066666666666666,144.33333333333334,8.4,0.0,0.004,0.0,0.0,0.0,69.56666666666666,16.898,no,3,3
16,16,441,25,2018-01-17,Vail/Summit,TL,3296.266666666667,-3.2,-2.8666666666666667,-11.466666666666667,-19.266666666666666,33.86666666666667,6.133333333333334,170.73333333333332,12.4,0.0,0.0,0.13333333333333333,0.0,0.0,66.60666666666667,16.914666666666665,no,4,1
17,17,467,25,2018-01-18,Vail/Summit,TL,3296.266666666667,-0.3333333333333333,0.4666666666666667,-9.2,-18.133333333333333,27.13333333333333,4.533333333333333,178.6,9.6,0.03333333333333333,0.092,0.11666666666666667,0.0,0.0,66.92666666666668,17.06933333333333,no,5,1
18,18,493,25,2018-01-19,Vail/Summit,TL,3296.266666666667,3.6666666666666665,4.066666666666666,-3.4,-11.0,38.266666666666666,12.933333333333335,213.4,28.86666666666667,0.03333333333333333,0.2706666666666667,0.11666666666666667,0.05999999999999999,0.0,66.44,17.136666666666667,no,6,0
19,19,519,25,2018-01-20,Vail/Summit,TL,3311.5714285714284,1.8571428571428568,5.071428571428571,-4.0,-10.071428571428571,45.35714285714285,15.785714285714285,168.64285714285714,35.785714285714285,0.03571428571428571,0.30142857142857143,0.03571428571428571,0.06428571428571428,0.0,73.17142857142856,18.177857142857142,no,7,0
