,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,24,24,2017-12-01,Vail/Summit,>TL,3666.25,-1.5,0.25,-4.5,-8.25,60.5,33.5,265.5,68.0,0.0,0.0,0.0,0.0,0.0,9.45,0.0,no,11,0
1,1,50,24,2017-12-02,Vail/Summit,>TL,3666.25,-2.0,-1.5,-4.25,-9.0,58.25,25.0,262.0,54.0,0.0,0.0,0.0,0.0,0.0,9.275,0.0,no,12,0
2,2,76,24,2017-12-03,Vail/Summit,>TL,3666.25,-0.75,0.5,-3.5,-12.5,40.75,21.5,234.75,42.25,0.0,0.0,0.0,0.0,0.0,9.325,0.0,no,13,0
3,3,102,24,2017-12-04,Vail/Summit,>TL,3666.25,-15.5,1.0,-17.5,-18.5,79.75,20.5,279.0,42.0,0.0,0.0,0.0,0.0,0.08,10.55,0.08,no,14,0
4,4,128,24,2017-12-05,Vail/Summit,>TL,3661.666666666666,-14.333333333333336,-14.0,-19.0,-18.0,75.0,17.333333333333332,294.3333333333333,39.0,0.0,0.0,0.0,0.0,0.0,14.566666666666665,0.0,no,15,1
5,5,154,24,2017-12-06,Vail/Summit,>TL,3661.666666666666,-16.0,-10.0,-17.333333333333332,-19.666666666666668,73.33333333333333,11.333333333333336,326.3333333333333,31.33333333333333,0.0,0.0,0.0,0.0,0.0,14.499999999999998,0.0,no,16,0
6,6,180,24,2017-12-07,Vail/Summit,>TL,3661.666666666666,-19.33333333333333,-16.0,-20.33333333333333,-21.33333333333333,82.66666666666667,13.666666666666664,267.3333333333333,27.0,0.0,0.0,0.0,0.0,0.0,14.766666666666666,0.0,no,17,0
7,7,206,24,2017-12-08,Vail/Summit,>TL,3661.666666666666,-11.333333333333336,-11.333333333333336,-19.33333333333333,-13.333333333333336,87.33333333333331,17.0,293.6666666666667,33.333333333333336,0.0,0.03,0.0,0.2,0.15,15.833333333333336,0.15,no,18,0
8,8,232,24,2017-12-09,Vail/Summit,>TL,3661.666666666666,-5.666666666666668,-5.666666666666668,-12.0,-21.66666666666667,27.66666666666667,8.666666666666666,226.3333333333333,22.0,0.0,0.0,0.0,0.0,0.0,15.4,2.7900000000000005,no,19,0
9,9,258,24,2017-12-10,Vail/Summit,>TL,3661.666666666666,-5.0,-4.0,-9.333333333333334,-27.66666666666667,16.0,6.0,263.6666666666667,14.0,0.0,0.0,0.0,0.0,0.0,15.866666666666665,2.7900000000000005,no,20,0
